Date,Close,High,Low,Open,Volume
1/1/2024,44167.33203,44175.4375,42214.97656,42280.23438,18426978443
1/2/2024,44957.96875,45899.70703,44176.94922,44187.14063,39335274536
1/3/2024,42848.17578,45503.24219,40813.53516,44961.60156,46342323118
1/4/2024,44179.92188,44770.02344,42675.17578,42855.81641,30448091210
1/5/2024,44162.69141,44353.28516,42784.71875,44192.98047,32336029347
1/6/2024,43989.19531,44227.63281,43475.15625,44178.95313,16092503468
1/7/2024,43943.09766,44495.57031,43662.23047,43998.46484,19330573863
1/8/2024,46970.50391,47218,43244.08203,43948.70703,42746192015
1/9/2024,46139.73047,47893.69922,45244.71484,46987.64063,39821290992
1/10/2024,46627.77734,47647.22266,44483.15234,46121.53906,50114613298
1/11/2024,46368.58594,48969.37109,45678.64453,46656.07422,45833734549
1/12/2024,42853.16797,46498.13672,41903.76953,46354.79297,43332698900
1/13/2024,42842.38281,43234.66016,42464.14453,42799.44531,20601860469
1/14/2024,41796.26953,43065.59766,41724.61328,42842.26172,17521429522
1/15/2024,42511.96875,43319.72266,41705.41797,41715.06641,22320220558
1/16/2024,43154.94531,43566.27344,42085.99609,42499.33594,24062872740
1/17/2024,42742.65234,43189.89063,42189.30859,43132.10156,20851232595
1/18/2024,41262.05859,42876.34766,40631.17188,42742.3125,25218357242
1/19/2024,41618.40625,42134.16016,40297.45703,41278.46094,25752407154
1/20/2024,41665.58594,41877.89453,41446.82422,41624.58984,11586690904
1/21/2024,41545.78516,41855.36719,41497.00781,41671.48828,9344043642
1/22/2024,39507.36719,41651.20703,39450.11719,41553.65234,31338708143
1/23/2024,39845.55078,40127.35156,38521.89453,39518.71484,29244553045
1/24/2024,40077.07422,40483.78516,39508.79688,39877.59375,22359526178
1/25/2024,39933.80859,40254.48047,39545.66406,40075.55078,18491782013
1/26/2024,41816.87109,42209.38672,39825.69141,39936.81641,25598119893
1/27/2024,42120.05469,42195.63281,41431.28125,41815.625,11422941934
1/28/2024,42035.59375,42797.17578,41696.91016,42126.125,16858971687
1/29/2024,43288.24609,43305.86719,41818.33203,42030.91406,20668476578
1/30/2024,42952.60938,43838.94531,42711.37109,43300.22656,23842814518
1/31/2024,42582.60547,43717.40625,42298.94531,42946.25,24673628793
2/1/2024,43075.77344,43243.16797,41879.19141,42569.76172,21423953779
2/2/2024,43185.85938,43422.48828,42584.33594,43077.64063,18603843039
2/3/2024,42992.25,43359.94141,42890.80859,43184.96484,11169245236
2/4/2024,42583.58203,43097.64453,42374.83203,42994.94141,14802225490
2/5/2024,42658.66797,43494.25,42264.81641,42577.62109,18715487317
2/6/2024,43084.67188,43344.14844,42529.01953,42657.39063,16798476726
2/7/2024,44318.22266,44341.94922,42775.95703,43090.01953,21126587775
2/8/2024,45301.56641,45575.83984,44332.125,44332.125,26154524080
2/9/2024,47147.19922,48152.49609,45260.82422,45297.38281,39316770844
2/10/2024,47771.27734,48146.17188,46905.32031,47153.52734,16398681570
2/11/2024,48293.91797,48535.9375,47617.40625,47768.96875,19315867136
2/12/2024,49958.22266,50280.47656,47745.76172,48296.38672,34511985805
2/13/2024,49742.44141,50358.39063,48406.49609,49941.35938,35593051468
2/14/2024,51826.69531,52021.37109,49296.83203,49733.44531,39105608050
2/15/2024,51938.55469,52820.06641,51371.62891,51836.78516,38564360533
2/16/2024,52160.20313,52537.96875,51641.36719,51937.72656,28180567298
2/17/2024,51662.99609,52191.91406,50669.66797,52161.67578,20009091006
2/18/2024,52122.54688,52356.96484,51233.70703,51661.96875,17595377311
2/19/2024,51779.14453,52483.32422,51711.82031,52134.8125,21362184346
2/20/2024,52284.875,52945.05078,50792.3125,51777.72656,33353758256
2/21/2024,51839.17969,52368.81641,50671.75781,52273.53516,28624907020
2/22/2024,51304.97266,52009.61328,50926.29297,51854.64453,25413900611
2/23/2024,50731.94922,51497.93359,50561.77734,51283.90625,21427078270
2/24/2024,51571.10156,51684.19531,50585.44531,50736.37109,15174077879
2/25/2024,51733.23828,51950.02734,51306.17188,51565.21484,15413239245
2/26/2024,54522.40234,54938.17578,50931.03125,51730.53906,34074411896
2/27/2024,57085.37109,57537.83984,54484.19922,54519.36328,49756832031
2/28/2024,62504.78906,63913.13281,56738.42578,57071.09766,83239156760
2/29/2024,61198.38281,63585.64453,60498.73047,62499.18359,65496611844
3/1/2024,62440.63281,63155.10156,60802.52734,61168.0625,40186368423
3/2/2024,62029.84766,62458.69922,61657.28906,62431.65234,23888473685
3/3/2024,63167.37109,63230.21094,61435.02344,62031.57813,26253811450
3/4/2024,68330.41406,68537.03125,62386.51953,63137.00391,70670471105
3/5/2024,63801.19922,69170.625,59323.91016,68341.05469,1.02803E+11
3/6/2024,66106.80469,67637.92969,62848.67188,63776.05078,68750229073
3/7/2024,66925.48438,68029.92188,65655.53125,66099.74219,46989543159
3/8/2024,68300.09375,70083.05469,66230.45313,66938.09375,59202881172
3/9/2024,68498.88281,68673.05469,68053.125,68299.25781,21609650379
3/10/2024,69019.78906,70005.20313,68239.97656,68500.25781,35683977532
3/11/2024,72123.90625,72850.71094,67194.88281,69020.54688,65716656765
3/12/2024,71481.28906,72825.65625,68728.85156,72125.125,62554434520
3/13/2024,73083.5,73637.47656,71334.09375,71482.11719,48212536929
3/14/2024,71396.59375,73750.07031,68563.02344,73079.375,59594605698
3/15/2024,69403.77344,72357.13281,65630.69531,71387.875,78320453976
3/16/2024,65315.11719,70046.27344,64801.39453,69392.48438,46842198371
3/17/2024,68390.625,68845.71875,64545.31641,65316.34375,44716864318
3/18/2024,67548.59375,68897.13281,66594.22656,68371.30469,49261579492
3/19/2024,61912.77344,68106.92969,61536.17969,67556.13281,74215844794
3/20/2024,67913.67188,68115.25781,60807.78516,61930.15625,66792634382
3/21/2024,65491.39063,68199.99219,64580.91797,67911.58594,44480350565
3/22/2024,63778.76172,66623.75,62355.37109,65489.92969,41401116964
3/23/2024,64062.20313,65976.39844,63038.49219,63802.72266,24738964812
3/24/2024,67234.17188,67622.75781,63825.85156,64070.75391,27206630673
3/25/2024,69958.8125,71162.59375,66414.83594,67234.09375,42700139523
3/26/2024,69987.83594,71535.74219,69335.60938,69931.32813,36010437368
3/27/2024,69455.34375,71727.6875,68381.92969,69991.89844,40827113309
3/28/2024,70744.95313,71546.02344,68895.50781,69452.77344,34374900617
3/29/2024,69892.82813,70913.09375,69076.65625,70744.79688,25230851763
3/30/2024,69645.30469,70355.49219,69601.0625,69893.44531,17130241883
3/31/2024,71333.64844,71377.78125,69624.86719,69647.78125,20050941373
4/1/2024,69702.14844,71342.09375,68110.69531,71333.48438,34873527352
4/2/2024,65446.97266,69708.38281,64586.59375,69705.02344,50705240709
4/3/2024,65980.8125,66914.32031,64559.89844,65446.67188,34488018367
4/4/2024,68508.84375,69291.25781,65113.79688,65975.69531,34439527442
4/5/2024,67837.64063,68725.75781,66011.47656,68515.75781,33748230056
4/6/2024,68896.10938,69629.60156,67491.71875,67840.57031,19967785809
4/7/2024,69362.55469,70284.42969,68851.63281,68897.10938,21204930369
4/8/2024,71631.35938,72715.35938,69064.24219,69362.55469,37261432669
4/9/2024,69139.01563,71742.50781,68212.92188,71632.5,36426900409
4/10/2024,70587.88281,71093.42969,67503.5625,69140.24219,38318601774
4/11/2024,70060.60938,71256.23438,69571.8125,70575.73438,30153382941
4/12/2024,67195.86719,71222.74219,65254.83594,70061.38281,44129299406
4/13/2024,63821.47266,67931.42969,60919.10547,67188.375,52869738185
4/14/2024,65738.72656,65824.42969,62205.85156,63836.23047,49084320047
4/15/2024,63426.21094,66878.64844,62332.07031,65739.64844,43595917654
4/16/2024,63811.86328,64355.66797,61716.40234,63419.29688,42847528078
4/17/2024,61276.69141,64486.36328,59768.58594,63831.84766,41915247049
4/18/2024,63512.75391,64125.6875,60833.48047,61275.31641,36006307335
4/19/2024,63843.57031,65481.59766,59651.39063,63510.75,49920425401
4/20/2024,64994.44141,65442.45703,63172.40234,63851.10156,23097485495
