Datetime,Open,High,Low,Close,Volume
3/9/2024 7:45,3931.06,3934.58,3925.4,3925.47,2101.691
3/9/2024 8:00,3925.46,3933.38,3925.46,3932.98,1823.9794
3/9/2024 8:15,3932.98,3935.34,3928.58,3934.49,2082.9074
3/9/2024 8:30,3934.49,3936,3929.34,3933.6,2708.2781
3/9/2024 8:45,3933.59,3934,3922.68,3922.89,2435.3265
3/9/2024 9:00,3922.88,3927.81,3922.88,3924.24,2115.6872
3/9/2024 9:15,3924.24,3930.6,3924,3927.79,1780.2835
3/9/2024 9:30,3927.8,3927.88,3916.47,3922.59,3238.3866
3/9/2024 9:45,3922.6,3922.6,3906.86,3919.79,4688.043
3/9/2024 10:00,3919.79,3920,3907.4,3911.86,3746.4535
3/9/2024 10:15,3911.85,3914.42,3887.99,3897.5,7331.7663
3/9/2024 10:30,3897.51,3909.8,3896.73,3907.91,4511.7223
3/9/2024 10:45,3907.91,3910.94,3904.31,3906.86,2120.8914
3/9/2024 11:00,3906.85,3915.46,3905.2,3906.99,2331.0287
3/9/2024 11:15,3906.99,3914.75,3906.46,3913.01,1797.1466
3/9/2024 11:30,3913,3917.81,3910.91,3913.44,2015.2587
3/9/2024 11:45,3913.45,3915.68,3904.44,3912.49,3122.5646
3/9/2024 12:00,3912.5,3913.25,3902.35,3907.73,3816.7025
3/9/2024 12:15,3907.72,3911.21,3901.62,3901.63,2153.9705
3/9/2024 12:30,3901.62,3914.84,3901.62,3914.83,1872.9544
3/9/2024 12:45,3914.84,3919.73,3912,3917.91,2614.3222
3/9/2024 13:00,3917.9,3919.26,3911,3912.03,2419.6673
3/9/2024 13:15,3912.04,3918.34,3910.37,3917.76,2072.0867
3/9/2024 13:30,3917.76,3927.05,3917.76,3920.8,5415.6577
3/9/2024 13:45,3920.8,3923.27,3915.17,3916.42,1875.6588
3/9/2024 14:00,3916.42,3924.49,3914.6,3924.49,2575.9878
3/9/2024 14:15,3924.49,3924.64,3916.67,3918.5,2072.3297
3/9/2024 14:30,3918.5,3922.94,3915,3917.8,2648.6273
3/9/2024 14:45,3917.8,3920.8,3907.31,3909.06,3184.6003
3/9/2024 15:00,3909.07,3912.63,3905.82,3906.64,2753.0575
3/9/2024 15:15,3906.64,3916.78,3906.63,3915.87,1566.126
3/9/2024 15:30,3915.87,3921.57,3915.86,3917.94,1590.0802
3/9/2024 15:45,3917.94,3918.55,3912.98,3916.66,1576.7337
3/9/2024 16:00,3916.66,3920.22,3900.2,3901.51,4628.2022
3/9/2024 16:15,3901.51,3909.4,3900,3904.03,3798.0691
3/9/2024 16:30,3904.03,3904.03,3880.01,3887.91,9560.5651
3/9/2024 16:45,3887.91,3888.62,3874.08,3884.44,5378.8658
3/9/2024 17:00,3884.45,3890.6,3870.01,3878.43,5444.1474
3/9/2024 17:15,3878.43,3880.34,3870.67,3879.99,3636.7014
3/9/2024 17:30,3879.99,3894.11,3879.98,3892.94,2948.5405
3/9/2024 17:45,3892.95,3893.74,3876.04,3883.07,3183.3104
3/9/2024 18:00,3883.07,3892,3878.41,3890.41,2363.7757
3/9/2024 18:15,3890.42,3893.21,3883.34,3884.4,1809.9189
3/9/2024 18:30,3884.4,3893.18,3884.39,3892.31,2296.2026
3/9/2024 18:45,3892.3,3893.4,3883.18,3889.37,3795.4615
3/9/2024 19:00,3889.36,3891.76,3883.64,3888.6,2692.4623
3/9/2024 19:15,3888.59,3889.8,3885,3887.84,1860.6668
3/9/2024 19:30,3887.85,3889.78,3884.56,3887.8,2010.903
3/9/2024 19:45,3887.8,3888.2,3878.02,3881.18,2045.6444
3/9/2024 20:00,3881.18,3892.26,3881.17,3886.68,2175.9311
3/9/2024 20:15,3886.68,3891.79,3884.44,3890.3,1759.6435
3/9/2024 20:30,3890.31,3900.75,3890.3,3896.71,1790.6361
3/9/2024 20:45,3896.72,3900.74,3896.71,3900.68,1098.0338
3/9/2024 21:00,3900.67,3903.26,3895.64,3903.22,1468.0475
3/9/2024 21:15,3903.21,3903.22,3892.1,3895.35,1529.0812
3/9/2024 21:30,3895.35,3907.64,3895.35,3903.56,1747.9411
3/9/2024 21:45,3903.57,3905.4,3901.99,3904.2,1282.4001
3/9/2024 22:00,3904.19,3909.35,3901.35,3909.35,1628.3554
3/9/2024 22:15,3909.34,3912,3900.21,3904.08,2258.7997
3/9/2024 22:30,3904.08,3907.53,3901.37,3901.37,1588.0479
3/9/2024 22:45,3901.38,3901.78,3896.32,3901.08,1437.1922
3/9/2024 23:00,3901.07,3912.68,3898.39,3910.89,2546.8116
3/9/2024 23:15,3910.88,3910.89,3898.65,3903,3400.9545
3/9/2024 23:30,3902.99,3908.13,3898,3906.92,2368.8195
3/9/2024 23:45,3906.92,3908.92,3904.95,3905.21,1933.3855
3/10/2024 0:00,3905.2,3908.92,3899.51,3903.15,3081.5691
3/10/2024 0:15,3903.14,3916.78,3902.46,3914.19,2833.161
3/10/2024 0:30,3914.18,3917.19,3901.86,3901.86,4555.4545
3/10/2024 0:45,3901.86,3912.02,3901.86,3908.65,1986.611
3/10/2024 1:00,3908.66,3932.93,3907.68,3931.69,6846.9259
3/10/2024 1:15,3931.68,3940.1,3923.52,3926.64,7559.3216
3/10/2024 1:30,3926.64,3933.97,3916.83,3922.1,3576.4593
3/10/2024 1:45,3922.11,3931.19,3918.05,3929.47,3815.1047
3/10/2024 2:00,3929.48,3933.8,3925.68,3929.84,2186.0938
3/10/2024 2:15,3929.84,3936.01,3927.23,3929.53,2119.5728
3/10/2024 2:30,3929.53,3938.64,3928.38,3931.27,2003.199
3/10/2024 2:45,3931.26,3931.27,3921,3921.68,1887.6975
3/10/2024 3:00,3921.68,3928.79,3910.96,3928.59,3012.4645
3/10/2024 3:15,3928.6,3936.11,3928.21,3934.36,2870.0603
3/10/2024 3:30,3934.36,3934.37,3929.1,3929.79,1449.6319
3/10/2024 3:45,3929.79,3937.87,3929.1,3935,2134.7019
3/10/2024 4:00,3935.01,3945.07,3931.89,3941.61,5885.4881
3/10/2024 4:15,3941.61,3950,3937.62,3938.79,5818.3938
3/10/2024 4:30,3938.79,3946.28,3934.93,3942.67,2989.9564
3/10/2024 4:45,3942.66,3949.8,3938.28,3940.65,2102.6997
3/10/2024 5:00,3940.65,3948.65,3936.57,3945.29,1652.9223
3/10/2024 5:15,3945.29,3946.64,3941.19,3945.3,2064.1799
3/10/2024 5:30,3945.29,3946.27,3939.54,3940.38,1745.4029
3/10/2024 5:45,3940.38,3940.93,3934,3938.84,2206.089
3/10/2024 6:00,3938.83,3940,3935.43,3937.97,1196.0756
3/10/2024 6:15,3937.96,3937.97,3929.79,3932.14,1976.8784
3/10/2024 6:30,3932.15,3941.03,3931.15,3939.81,1431.3306
3/10/2024 6:45,3939.81,3947.81,3936,3942.99,1695.8891
3/10/2024 7:00,3943,3943.39,3937.99,3940.65,2371.7631
3/10/2024 7:15,3940.64,3945.77,3940,3942.59,1324.3903
3/10/2024 7:30,3942.6,3945.4,3940.22,3942.99,2378.0116
3/10/2024 7:45,3942.98,3949.46,3941.3,3944.82,1865.2754
3/10/2024 8:00,3944.81,3950,3943.28,3943.28,2870.6562
3/10/2024 8:15,3943.28,3945.72,3940.35,3943.2,1586.7559
3/10/2024 8:30,3943.19,3945.67,3940,3943.81,2203.6052
3/10/2024 8:45,3943.8,3964.67,3943.8,3959.16,3926.1217
3/10/2024 9:00,3959.15,3959.2,3944.4,3951.81,3481.8127
3/10/2024 9:15,3951.8,3951.81,3926.7,3934.02,5880.56
3/10/2024 9:30,3934.03,3946.8,3920.02,3946.21,5945.0304
3/10/2024 9:45,3946.21,3955.6,3938.59,3945.57,9225.2422
3/10/2024 10:00,3945.56,3952,3942.4,3947.66,3988.4632
