Date,Open,High,Low,Close,Volume
12/31/2024 21:00,93564.01,93757.58,93563.11,93707.3,76.25536
12/31/2024 21:05,93707.31,93727.27,93506.64,93555.91,37.2963
12/31/2024 21:10,93555.9,93598.69,93504.67,93567.29,25.18625
12/31/2024 21:15,93567.29,93626.39,93519.43,93620.21,29.71764
12/31/2024 21:20,93620.22,93773.77,93591.04,93726.23,26.06551
12/31/2024 21:25,93726.23,93735.79,93566.46,93609.85,20.81548
12/31/2024 21:30,93609.84,93780,93599.98,93742,24.10979
12/31/2024 21:35,93742,93961.97,93730.76,93961.96,30.0085
12/31/2024 21:40,93961.97,93964.15,93883.29,93920.5,23.51015
12/31/2024 21:45,93920.49,93920.49,93826.74,93879.34,15.19884
12/31/2024 21:50,93879.34,93879.34,93855.49,93863.99,11.49295
12/31/2024 21:55,93863.98,93940,93863.98,93899.68,17.87038
12/31/2024 22:00,93899.67,93899.67,93793.2,93793.21,23.78621
12/31/2024 22:05,93793.21,93793.21,93716.91,93716.91,22.36522
12/31/2024 22:10,93716.91,93757.58,93696.97,93757.58,14.22511
12/31/2024 22:15,93757.58,93828.35,93679.57,93731.6,31.79412
12/31/2024 22:20,93731.61,93731.61,93569.7,93570,33.3325
12/31/2024 22:25,93570,93722.24,93570,93722.23,19.04521
12/31/2024 22:30,93722.23,93724.73,93603.35,93672.84,19.25578
12/31/2024 22:35,93672.84,93752.14,93632,93752.14,18.41486
12/31/2024 22:40,93752.14,93833.46,93752.13,93782.13,15.23729
12/31/2024 22:45,93782.13,93790.79,93776.3,93785.16,18.10451
12/31/2024 22:50,93785.16,93785.17,93511.62,93526.81,29.61188
12/31/2024 22:55,93526.8,93606.78,93375.58,93488.84,70.36003
12/31/2024 23:00,93488.83,93569.44,93388.81,93417.68,53.52697
12/31/2024 23:05,93417.69,93636,93375.38,93635.99,34.05222
12/31/2024 23:10,93635.99,93756,93604,93712.56,30.20168
12/31/2024 23:15,93712.57,93712.57,93656.02,93664.04,13.40954
12/31/2024 23:20,93664.05,93664.05,93602.83,93637.81,17.96098
12/31/2024 23:25,93637.81,93753.47,93636.24,93731.05,26.72454
12/31/2024 23:30,93731.06,93734.91,93528.01,93546.03,38.95398
12/31/2024 23:35,93546.03,93546.03,93456.02,93464.26,37.27614
12/31/2024 23:40,93464.27,93504,93456,93490.87,23.44102
12/31/2024 23:45,93490.86,93544.5,93484.3,93544.49,23.00051
12/31/2024 23:50,93544.49,93702.15,93544.49,93646.96,20.99684
12/31/2024 23:55,93646.97,93676.98,93576,93576,17.03553
1/1/2025 0:00,93576,93702.15,93537.5,93661.2,45.9416
1/1/2025 0:05,93661.2,93678.02,93600,93607.1,71.94585
1/1/2025 0:10,93607.1,93656.19,93489.03,93656.18,57.96928
1/1/2025 0:15,93656.19,93840.05,93614.95,93796.35,39.74456
1/1/2025 0:20,93796.35,93898.05,93707.81,93740,38.38053
1/1/2025 0:25,93740,93761.9,93721,93761.9,17.2924
1/1/2025 0:30,93761.9,93963.67,93761.89,93882.92,41.20105
1/1/2025 0:35,93882.91,93924.61,93836.61,93909.03,29.61201
1/1/2025 0:40,93909.03,93952.97,93885,93885.01,23.5511
1/1/2025 0:45,93885,93977.98,93864.44,93977.97,16.0662
1/1/2025 0:50,93977.98,94330.59,93964.07,94260,153.78843
1/1/2025 0:55,94260,94509.42,94212.13,94401.14,220.49709
1/1/2025 1:00,94401.13,94408.72,94105.2,94118.41,49.21796
1/1/2025 1:05,94118.41,94118.41,93880,94061.41,192.32691
1/1/2025 1:10,94061.41,94172,94061.4,94153.05,43.02531
1/1/2025 1:15,94153.04,94153.05,93971.28,93990.24,19.83923
1/1/2025 1:20,93990.23,93990.89,93850.39,93898.13,32.91057
1/1/2025 1:25,93898.14,93935.27,93819.6,93825.86,49.91252
1/1/2025 1:30,93825.86,93989.37,93825.86,93970.23,39.8335
1/1/2025 1:35,93970.23,93970.24,93893.29,93922.01,29.09079
1/1/2025 1:40,93922.01,93971.02,93917.21,93923.14,10.0546
1/1/2025 1:45,93923.14,93945.25,93822.46,93854.48,19.38102
1/1/2025 1:50,93854.47,93854.48,93578.77,93626.1,85.86737
1/1/2025 1:55,93626.1,93645.96,93594.42,93607.74,15.07478
1/1/2025 2:00,93607.74,93779.99,93594.56,93753.19,27.44459
1/1/2025 2:05,93753.2,93776.34,93674.02,93682.94,22.67176
1/1/2025 2:10,93682.94,93805.04,93676.96,93800,54.60054
1/1/2025 2:15,93800,93805.16,93689.48,93765.41,23.19997
1/1/2025 2:20,93765.42,93773.19,93702.61,93716.81,13.08729
1/1/2025 2:25,93716.81,93742.52,93702.62,93742.52,11.93177
1/1/2025 2:30,93742.51,93799.36,93742.51,93773.61,13.91987
1/1/2025 2:35,93773.61,93880,93773.6,93879.99,12.32596
1/1/2025 2:40,93879.99,93921.86,93855.17,93921.86,13.58807
1/1/2025 2:45,93921.86,93965.2,93912,93934.22,10.69693
1/1/2025 2:50,93934.22,94105.12,93934.21,94040.01,54.77784
1/1/2025 2:55,94040.01,94098.91,94040,94098.91,18.53586
1/1/2025 3:00,94098.9,94098.91,93959.89,93988.45,23.57324
1/1/2025 3:05,93988.45,94050.5,93965.31,93982,21.59699
1/1/2025 3:10,93982,93992.8,93971.63,93976.01,19.89506
1/1/2025 3:15,93976.01,93976.01,93832.13,93849.7,18.2703
1/1/2025 3:20,93849.71,93856,93766.23,93830.88,22.20545
1/1/2025 3:25,93830.89,93848.98,93830.88,93830.89,6.94743
1/1/2025 3:30,93830.9,93848,93828.01,93829.13,17.10461
1/1/2025 3:35,93829.13,93850.31,93800,93850.31,13.37962
1/1/2025 3:40,93850.31,93891.15,93840,93857.04,37.35226
1/1/2025 3:45,93857.03,93867.35,93728.22,93786.19,25.41642
1/1/2025 3:50,93786.18,93812,93786.18,93801.66,8.27912
1/1/2025 3:55,93801.66,93838.04,93801.65,93838.04,6.97252
1/1/2025 4:00,93838.04,93838.04,93733.28,93797.95,54.89707
1/1/2025 4:05,93797.96,93797.96,93727.36,93727.36,12.55923
1/1/2025 4:10,93727.37,93727.37,93689.96,93711.19,20.01233
1/1/2025 4:15,93711.18,93718.23,93679.07,93705.73,20.95088
1/1/2025 4:20,93705.74,93771.99,93688.53,93698.98,18.60924
1/1/2025 4:25,93698.98,93747.47,93690.89,93738.09,13.97592
1/1/2025 4:30,93738.09,93738.1,93674.18,93674.34,13.82388
1/1/2025 4:35,93674.33,93674.34,93616.82,93638.53,22.96567
1/1/2025 4:40,93638.53,93645.13,93626.11,93645.13,9.10569
1/1/2025 4:45,93645.12,93670,93607.86,93633.99,19.42639
1/1/2025 4:50,93633.98,93670,93626.75,93648.99,13.54025
1/1/2025 4:55,93648.99,93669.99,93500,93553.91,59.60254
1/1/2025 5:00,93553.91,93586.5,93547.4,93586.49,9.06194
1/1/2025 5:05,93586.5,93621.5,93581.2,93581.2,15.80294
1/1/2025 5:10,93581.2,93680,93581.2,93638.5,19.55943
1/1/2025 5:15,93638.5,93671.13,93614.5,93671.13,10.63968
1/1/2025 5:20,93671.12,93768.49,93671.12,93730,58.38748
1/1/2025 5:25,93730.01,93933.33,93729.99,93891.74,27.78431
1/1/2025 5:30,93891.74,93937.19,93840,93840,16.30363
1/1/2025 5:35,93840,93866.39,93821.01,93821.01,17.3295
1/1/2025 5:40,93821.01,93871.43,93799.25,93857.65,10.84107
1/1/2025 5:45,93857.66,93862.11,93836.27,93836.28,7.98453
1/1/2025 5:50,93836.27,93836.28,93804,93804.11,10.78589
1/1/2025 5:55,93804.12,93804.12,93792.01,93792.02,4.699
1/1/2025 6:00,93792.02,93792.02,93729.15,93729.15,22.92537
1/1/2025 6:05,93729.16,93729.16,93658.8,93658.81,8.82931
1/1/2025 6:10,93658.81,93673.73,93603.21,93603.22,16.37344
1/1/2025 6:15,93603.21,93663.01,93603.21,93624.26,16.08201
1/1/2025 6:20,93624.26,93701.39,93624.25,93677.17,25.11493
1/1/2025 6:25,93677.16,93681.66,93654.49,93654.5,5.33562
1/1/2025 6:30,93654.5,93654.5,93604,93615.06,63.59369
1/1/2025 6:35,93615.07,93660.03,93568.38,93647.51,40.59857
1/1/2025 6:40,93647.51,93720.01,93647.5,93720,30.18422
1/1/2025 6:45,93720.01,93722.1,93677.91,93677.91,16.65673
1/1/2025 6:50,93677.92,93722.1,93672.34,93722.1,9.64492
1/1/2025 6:55,93722.1,93757.58,93719.58,93757.58,16.93965
1/1/2025 7:00,93757.57,93757.58,93690.78,93690.79,6.72698
1/1/2025 7:05,93690.79,93704.34,93664.08,93664.09,12.31332
1/1/2025 7:10,93664.09,93686.79,93664.08,93685.25,10.23327
1/1/2025 7:15,93685.25,93731.25,93677.5,93731.24,12.51311
1/1/2025 7:20,93731.25,93757.58,93723.01,93741.64,24.73469
1/1/2025 7:25,93741.63,93786.04,93741.63,93786.03,6.11898
1/1/2025 7:30,93786.03,93786.04,93766.39,93768.58,11.69684
1/1/2025 7:35,93768.58,93800,93758.42,93780.03,17.29502
1/1/2025 7:40,93780.04,93780.04,93727.27,93741.15,8.99149
1/1/2025 7:45,93741.15,93749.26,93721.9,93721.9,18.9981
1/1/2025 7:50,93721.91,93767.76,93721.9,93767.76,5.57409
1/1/2025 7:55,93767.76,93767.76,93664.09,93684.1,62.73869
1/1/2025 8:00,93684.11,93714.09,93684.1,93714.08,14.76848
1/1/2025 8:05,93714.08,93756.02,93677.44,93729.52,32.3881
1/1/2025 8:10,93729.53,93746.4,93721.24,93746.39,24.88912
1/1/2025 8:15,93746.39,93746.4,93683.68,93683.68,21.28368
1/1/2025 8:20,93683.68,93683.69,93672.8,93672.81,5.67263
1/1/2025 8:25,93672.8,93672.81,93304,93416.41,218.37439
1/1/2025 8:30,93416.41,93514.65,93400,93457.32,35.11413
1/1/2025 8:35,93457.33,93513.3,93434.27,93467.35,25.7128
1/1/2025 8:40,93467.35,93527.21,93467.35,93476.46,18.44516
1/1/2025 8:45,93476.46,93476.46,93320,93389.99,35.90884
1/1/2025 8:50,93390,93547.83,93390,93515.16,27.46549
1/1/2025 8:55,93515.16,93515.17,93428.46,93428.46,21.68891
1/1/2025 9:00,93428.47,93486.1,93428.46,93486.09,25.05448
1/1/2025 9:05,93486.09,93486.29,93362.5,93413.88,26.7989
1/1/2025 9:10,93413.88,93420,93217.93,93327.15,62.62779
1/1/2025 9:15,93327.15,93327.15,93188,93268.17,40.15928
1/1/2025 9:20,93268.18,93303.04,93118,93118,67.31693
1/1/2025 9:25,93118,93141.92,92888,93141.91,209.82914
1/1/2025 9:30,93141.91,93302.52,93092.86,93215.52,143.30013
1/1/2025 9:35,93215.53,93215.53,93030.3,93053.07,36.97619
1/1/2025 9:40,93053.06,93121.77,93001,93106.31,49.85033
1/1/2025 9:45,93106.3,93242.43,93048.64,93204.01,31.56695
1/1/2025 9:50,93204,93446.48,93204,93403.26,69.68188
1/1/2025 9:55,93403.26,93420,93378.75,93413.06,35.33573
1/1/2025 10:00,93413.07,93534.95,93357.67,93492.57,42.13657
1/1/2025 10:05,93492.57,93529.19,93437.48,93437.49,20.14522
1/1/2025 10:10,93437.5,93441.57,93368,93384.27,21.6802
1/1/2025 10:15,93384.26,93519.64,93384.26,93519.64,21.26558
1/1/2025 10:20,93519.63,93536.75,93492,93500.17,16.36964
1/1/2025 10:25,93500.17,93525.35,93410.24,93410.25,17.27859
1/1/2025 10:30,93410.25,93509.74,93400.01,93400.02,25.67109
1/1/2025 10:35,93400.01,93418.76,93368,93382.01,19.17402
1/1/2025 10:40,93382.01,93416.64,93284,93397.96,20.51314
1/1/2025 10:45,93397.96,93416.64,93350,93365.66,17.05536
1/1/2025 10:50,93365.67,93365.67,93308.11,93325.41,18.9807
1/1/2025 10:55,93325.41,93353.18,93292.5,93326.23,25.28181
1/1/2025 11:00,93326.24,93355.66,93200,93215.04,17.78654
1/1/2025 11:05,93215.04,93355.71,93200,93355.71,22.12048
1/1/2025 11:10,93355.71,93376.63,93305.63,93331.58,36.47922
1/1/2025 11:15,93331.58,93470.36,93331.57,93411.58,43.90706
1/1/2025 11:20,93411.57,93479.58,93388,93456,22.93233
1/1/2025 11:25,93456.01,93485.88,93424.59,93485.88,16.71456
1/1/2025 11:30,93485.88,93512,93425.75,93441.61,15.42085
1/1/2025 11:35,93441.62,93441.62,93402,93429.37,10.73316
1/1/2025 11:40,93429.37,93605.82,93422.86,93593.24,46.63735
1/1/2025 11:45,93593.24,93705.08,93529.44,93535,43.99497
1/1/2025 11:50,93534.99,93540,93486.21,93486.21,17.55536
1/1/2025 11:55,93486.22,93486.22,93443.99,93444.64,27.44037
1/1/2025 12:00,93444.65,93500.48,93414.33,93500.47,30.84351
1/1/2025 12:05,93500.47,93511.37,93469.16,93482.7,19.99621
1/1/2025 12:10,93482.7,93482.7,93407.07,93451.38,15.91467
1/1/2025 12:15,93451.37,93573.17,93451.37,93544.71,27.87772
1/1/2025 12:20,93544.71,93842.1,93544.7,93782.31,160.91372
1/1/2025 12:25,93782.32,93972,93782.31,93888.31,79.17136
1/1/2025 12:30,93888.3,93909.1,93816,93816,49.90541
1/1/2025 12:35,93816.01,93876,93768,93839.99,43.18874
1/1/2025 12:40,93840,93876.28,93782.49,93782.5,19.14548
1/1/2025 12:45,93782.51,93782.51,93705.5,93710.64,21.54116
1/1/2025 12:50,93710.64,93769.39,93700.73,93769.38,14.34088
1/1/2025 12:55,93769.39,93843.99,93769.39,93820.76,16.51727
1/1/2025 13:00,93820.75,93900,93770.58,93899.99,35.5935
1/1/2025 13:05,93900,93900,93680.35,93680.36,27.22735
1/1/2025 13:10,93680.35,93707.41,93647.84,93658.13,20.51564
1/1/2025 13:15,93658.13,93727.28,93613.29,93680.49,21.27035
1/1/2025 13:20,93680.48,93706.18,93600.28,93634.69,25.17419
1/1/2025 13:25,93634.68,93792.69,93634.68,93729.3,32.62018
1/1/2025 13:30,93729.3,93859.51,93724,93854.16,21.55593
1/1/2025 13:35,93854.15,93888.98,93774.47,93777.35,19.5877
1/1/2025 13:40,93777.35,93823.87,93728.53,93776.51,19.10807
1/1/2025 13:45,93776.51,93900,93760,93897.18,26.87461
1/1/2025 13:50,93897.18,93924.24,93848,93880.48,26.43766
1/1/2025 13:55,93880.49,94058.79,93880.48,94031.76,64.39869
1/1/2025 14:00,94031.77,94371.73,94028.54,94371.72,135.02273
1/1/2025 14:05,94371.73,94450.85,94172.82,94265.92,57.35212
1/1/2025 14:10,94265.65,94348.44,94220,94245.19,57.1983
