date,open,high,low,close,volume
1/4/2025 1:30,97960.15,98095.06,97909.09,98060.11,65.45458
1/4/2025 1:45,98060.11,98090.33,98021.05,98040,51.25968
1/4/2025 2:00,98040,98042.02,97848.48,97922.75,129.99687
1/4/2025 2:15,97922.75,97944.02,97874.46,97900.67,43.84695
1/4/2025 2:30,97900.67,98184,97874.64,98141.1,101.14015
1/4/2025 2:45,98141.11,98314.15,98141.11,98304.51,93.91761
1/4/2025 3:00,98304.51,98304.51,98111.2,98168.66,89.88892
1/4/2025 3:15,98168.67,98168.67,98052.97,98086.8,49.26023
1/4/2025 3:30,98086.8,98246.97,98078.48,98246.96,56.71133
1/4/2025 3:45,98246.96,98269.39,98196,98200,78.82802
1/4/2025 4:00,98200.01,98200.01,97918.27,97933.46,105.66465
1/4/2025 4:15,97933.46,97972,97900,97948.87,50.74721
1/4/2025 4:30,97948.87,98012.91,97862.87,97999.99,80.72094
1/4/2025 4:45,98000,98001.01,97932.01,98001,67.36677
1/4/2025 5:00,98001,98055.56,97988.76,98034.37,45.84467
1/4/2025 5:15,98034.38,98164.75,98034.38,98143.44,63.0241
1/4/2025 5:30,98143.45,98196.51,98129,98186.51,55.56697
1/4/2025 5:45,98186.51,98186.51,98063.34,98126.21,85.54213
1/4/2025 6:00,98126.21,98140.98,98061.79,98063.32,63.05609
1/4/2025 6:15,98063.32,98090.91,98047.79,98073.02,45.21603
1/4/2025 6:30,98073.03,98093.56,98039.91,98055.49,51.74203
1/4/2025 6:45,98055.48,98209.7,98041.67,98127.54,51.90923
1/4/2025 7:00,98127.53,98233.44,98095.17,98228.83,68.26233
1/4/2025 7:15,98228.84,98350.04,98156,98193.71,220.45355
1/4/2025 7:30,98193.71,98291.04,98169.92,98291.03,105.534
1/4/2025 7:45,98291.03,98323.28,98223.51,98271.88,60.21153
1/4/2025 8:00,98271.87,98306.22,98213.84,98248.99,61.35765
1/4/2025 8:15,98248.99,98250,98112.55,98185.85,76.26064
1/4/2025 8:30,98185.85,98270.07,98136.76,98136.76,55.24498
1/4/2025 8:45,98136.76,98136.77,97905.26,97906.07,110.81251
1/4/2025 9:00,97906.08,97980,97833.34,97850,98.91645
1/4/2025 9:15,97850,97950,97713.11,97873.39,162.69727
1/4/2025 9:30,97873.39,97899.07,97777.72,97804.33,111.14041
1/4/2025 9:45,97804.33,97804.34,97532.58,97690.37,299.03737
1/4/2025 10:00,97690.37,97751.88,97633.28,97708.93,95.95672
1/4/2025 10:15,97708.93,97762.33,97600,97736.17,98.38497
1/4/2025 10:30,97736.17,97848.49,97736.16,97824.65,78.11258
1/4/2025 10:45,97824.66,97859.6,97789.31,97789.32,58.23133
1/4/2025 11:00,97789.32,97789.32,97711.54,97771.74,64.1387
1/4/2025 11:15,97771.74,97781.02,97723.98,97758.89,75.09778
1/4/2025 11:30,97758.89,97849.1,97758.88,97839.75,54.46528
1/4/2025 11:45,97839.76,97923.07,97832,97889.39,85.40942
1/4/2025 12:00,97889.4,97927.57,97804,97840,72.55802
1/4/2025 12:15,97840,98016.97,97800,97921.89,113.96983
1/4/2025 12:30,97921.9,97993.49,97867.43,97867.43,89.34402
1/4/2025 12:45,97867.43,97897.98,97801.49,97888.12,60.92505
1/4/2025 13:00,97888.12,97967.35,97860,97896,81.58543
1/4/2025 13:15,97896.01,97928.48,97770.74,97849.51,104.15238
1/4/2025 13:30,97849.51,97876.32,97750,97876.31,136.11297
1/4/2025 13:45,97876.32,98068.46,97876.32,97973.05,141.34976
1/4/2025 14:00,97973.05,97980,97858.14,97867.13,71.97678
1/4/2025 14:15,97867.13,98013.32,97828.38,98000,100.86812
1/4/2025 14:30,98000.01,98080.15,97940.64,98059.98,98.36556
1/4/2025 14:45,98059.99,98059.99,97999.89,98035.04,58.23114
1/4/2025 15:00,98035.05,98044.72,97925.6,97997.81,88.10382
1/4/2025 15:15,97997.81,98152.02,97625.6,97832.06,174.30565
1/4/2025 15:30,97832.07,97832.07,97568.34,97637.63,283.40708
1/4/2025 15:45,97637.63,97737.5,97514.79,97657.94,191.9677
1/4/2025 16:00,97657.95,97800,97623.99,97780.29,129.81106
1/4/2025 16:15,97780.29,97874.68,97703.11,97703.12,75.52066
1/4/2025 16:30,97703.11,97703.11,97549.99,97636.42,311.86651
1/4/2025 16:45,97636.41,97729.14,97622.66,97704.6,57.92078
1/4/2025 17:00,97704.6,97801.27,97687.77,97774.69,56.63737
1/4/2025 17:15,97774.69,97826.81,97774.69,97780.29,48.93823
1/4/2025 17:30,97780.28,97909.1,97752.02,97877.01,67.34654
1/4/2025 17:45,97877,98049.99,97865.89,98016.26,78.52491
1/4/2025 18:00,98016.26,98084.16,97962.67,98065.12,67.06059
1/4/2025 18:15,98065.13,98139.13,98042.19,98057.28,75.16593
1/4/2025 18:30,98057.27,98098.39,97976.74,98046.4,38.99403
1/4/2025 18:45,98046.4,98064.01,97909.85,97961.56,55.99742
1/4/2025 19:00,97961.56,98123.44,97931.23,98123.44,67.66742
1/4/2025 19:15,98123.43,98350,98123.43,98167.17,147.40616
1/4/2025 19:30,98167.17,98264.24,98119.58,98140.97,51.46608
1/4/2025 19:45,98140.98,98200,98093.66,98166.26,63.94202
1/4/2025 20:00,98166.26,98490,98166.25,98292.5,130.83903
1/4/2025 20:15,98292.5,98466.21,98251.99,98456.37,52.40282
1/4/2025 20:30,98456.37,98671.02,98400,98543.99,169.97678
1/4/2025 20:45,98543.98,98626.97,98521.98,98599.02,88.4761
1/4/2025 21:00,98599.02,98778.43,98539.98,98548.49,146.91134
1/4/2025 21:15,98548.5,98663.46,98502.77,98532.81,213.80465
1/4/2025 21:30,98532.81,98532.82,98363.63,98384.52,118.32024
1/4/2025 21:45,98384.53,98407.92,98344,98362.43,57.33967
1/4/2025 22:00,98362.43,98406.27,98334.3,98340.54,51.36964
1/4/2025 22:15,98340.54,98340.55,98266.33,98268,92.00653
1/4/2025 22:30,98268.01,98448.47,98265.91,98408.11,93.5461
1/4/2025 22:45,98408.1,98484.85,98359.53,98417.25,52.7852
1/4/2025 23:00,98417.25,98419.14,98143.2,98174.99,108.61497
1/4/2025 23:15,98175,98272.56,98174.99,98240,36.10249
1/4/2025 23:30,98240,98280,98208,98225.62,56.80214
1/4/2025 23:45,98225.61,98311.24,98212.26,98220.5,52.31162
1/5/2025 0:00,98220.51,98328.09,98154.18,98286.77,82.75449
1/5/2025 0:15,98286.77,98391.59,98199.51,98272.31,82.508
1/5/2025 0:30,98272.31,98343.9,98238.24,98254.75,53.97606
1/5/2025 0:45,98254.75,98279.84,98200.36,98213.43,35.19497
1/5/2025 1:00,98213.44,98298.56,98151.51,98282.07,53.75463
1/5/2025 1:15,98282.07,98322.35,98213.61,98213.61,45.43956
1/5/2025 1:30,98213.61,98213.62,98062.36,98150.53,89.61682
1/5/2025 1:45,98150.53,98150.54,98050,98123.53,48.55146
1/5/2025 2:00,98123.53,98198.05,98123.52,98189.05,41.70561
1/5/2025 2:15,98189.06,98212.13,98154.32,98181.82,61.21923
1/5/2025 2:30,98181.81,98181.82,98105.41,98154.34,43.79473
1/5/2025 2:45,98154.33,98227.49,98154.33,98227.48,40.81722
1/5/2025 3:00,98227.49,98227.49,98155.33,98177.54,25.78065
1/5/2025 3:15,98177.55,98184.92,98115.3,98152.01,36.60152
1/5/2025 3:30,98152.01,98178.04,98100,98100,43.2776
1/5/2025 3:45,98100,98187.97,98069,98187.96,45.57798
1/5/2025 4:00,98187.97,98380,98187.96,98266.86,100.91813
1/5/2025 4:15,98266.85,98522.76,98252,98487.16,77.39842
1/5/2025 4:30,98487.17,98487.17,98391.67,98391.67,41.20054
1/5/2025 4:45,98391.68,98391.68,98348.15,98357.46,19.13968
1/5/2025 5:00,98357.46,98381.05,98303.19,98318.63,38.18261
1/5/2025 5:15,98318.63,98425.97,98264.78,98425.96,59.61775
1/5/2025 5:30,98425.96,98500,98338.03,98374.55,66.72223
1/5/2025 5:45,98374.56,98393.94,98305.03,98358.98,48.12739
1/5/2025 6:00,98358.98,98358.98,98304.82,98311.99,25.39357
1/5/2025 6:15,98311.99,98393.94,98311.98,98370.35,37.03855
1/5/2025 6:30,98370.34,98400,98339.57,98388.58,27.53969
1/5/2025 6:45,98388.58,98500,98367.38,98451.47,59.63949
1/5/2025 7:00,98451.48,98464.84,98376,98376.01,45.87678
1/5/2025 7:15,98376.01,98400,98339.97,98339.97,25.979
1/5/2025 7:30,98339.98,98355.83,98328.88,98345.75,22.40522
1/5/2025 7:45,98345.74,98345.75,98268.77,98268.77,24.05069
1/5/2025 8:00,98268.77,98268.78,97908.02,97951.01,213.82709
1/5/2025 8:15,97951.02,97951.02,97777.77,97897.1,178.60396
1/5/2025 8:30,97897.11,97941.97,97838.66,97885.3,71.94966
1/5/2025 8:45,97885.31,97911.36,97822,97861.04,47.35859
1/5/2025 9:00,97861.04,97943.02,97814.72,97904.2,50.77941
1/5/2025 9:15,97904.21,97940,97819.32,97819.33,45.96466
1/5/2025 9:30,97819.32,97900,97800,97899.99,66.99016
1/5/2025 9:45,97900,97910.74,97637.93,97652.2,177.40123
1/5/2025 10:00,97652.21,97776.68,97600,97724.81,178.74936
1/5/2025 10:15,97724.81,97756.48,97600.01,97600.02,57.10927
1/5/2025 10:30,97600.02,97715.25,97600.01,97695,57.90312
1/5/2025 10:45,97695,97748.84,97695,97737.48,38.02887
1/5/2025 11:00,97737.48,97767.65,97685.53,97706.19,36.39173
1/5/2025 11:15,97706.2,97822.16,97706.19,97727.27,54.58655
1/5/2025 11:30,97727.27,97735.96,97625.94,97668.62,45.3411
1/5/2025 11:45,97668.62,97668.62,97615.13,97641.63,50.39833
1/5/2025 12:00,97641.62,97737.9,97569.04,97737.64,65.81102
1/5/2025 12:15,97737.63,97922.89,97680,97717.27,97.9275
1/5/2025 12:30,97717.26,97796,97673.67,97769.66,74.86727
1/5/2025 12:45,97769.67,97956.66,97746.12,97770.01,77.86947
1/5/2025 13:00,97770.01,97905.51,97737.2,97861.46,63.00663
1/5/2025 13:15,97861.47,97965.31,97846.36,97965.3,56.24185
1/5/2025 13:30,97965.3,98018.96,97876,97877.86,77.57424
1/5/2025 13:45,97877.86,97877.86,97680.18,97689.96,85.12047
1/5/2025 14:00,97689.96,97779.96,97600,97645,93.55147
1/5/2025 14:15,97645,97645.01,97276.79,97484.97,446.46883
1/5/2025 14:30,97484.97,97678.56,97372.99,97675.19,119.45905
1/5/2025 14:45,97675.19,97967.08,97675.19,97855.06,117.17939
1/5/2025 15:00,97855.06,98024.48,97820.63,97820.63,133.31939
1/5/2025 15:15,97820.64,97909.1,97702.3,97908.1,74.0208
1/5/2025 15:30,97908.1,98281.89,97908.1,98090.37,225.41483
1/5/2025 15:45,98090.37,98167.51,98000,98028.98,59.47572
1/5/2025 16:00,98028.98,98332.54,97988.88,98195.62,242.08021
1/5/2025 16:15,98195.61,98235.79,98045.23,98082.34,73.20782
1/5/2025 16:30,98082.34,98087.18,97937.82,97996.12,77.44616
1/5/2025 16:45,97996.12,98113.29,97973.86,98035.17,61.82962
1/5/2025 17:00,98035.17,98078.94,97989.5,98014.32,63.29081
1/5/2025 17:15,98014.31,98014.32,97880.39,97967.99,98.23066
1/5/2025 17:30,97968,98023.84,97808.49,97849.49,100.14991
1/5/2025 17:45,97849.49,97849.49,97673.57,97731.08,96.98459
1/5/2025 18:00,97731.09,97777.46,97577.46,97700.81,134.58792
1/5/2025 18:15,97700.81,97752.18,97607.27,97706.91,82.80175
1/5/2025 18:30,97706.91,97860,97695.58,97837.66,48.54934
1/5/2025 18:45,97837.66,97927.98,97837.65,97918.91,35.35132
1/5/2025 19:00,97918.91,98039.73,97854.99,98037.38,57.33928
1/5/2025 19:15,98037.37,98109,97960.14,98056.22,114.62066
1/5/2025 19:30,98056.22,98071.57,97975.24,98017.03,87.02843
1/5/2025 19:45,98017.03,98079.64,97984,98079.63,47.86847
1/5/2025 20:00,98079.64,98138.83,98024,98128.61,50.35334
1/5/2025 20:15,98128.6,98678,98128.6,98482.49,420.18342
1/5/2025 20:30,98482.49,98497.32,98331.67,98344.06,85.54402
1/5/2025 20:45,98344.07,98354.74,98161.38,98275.71,124.38089
1/5/2025 21:00,98275.71,98404,98216.58,98396.93,129.05286
1/5/2025 21:15,98396.93,98419.94,98303.61,98303.61,84.70235
1/5/2025 21:30,98303.62,98487.1,98283.29,98429.65,54.56426
1/5/2025 21:45,98429.66,98522.46,98429.65,98496.52,59.46421
1/5/2025 22:00,98496.52,98512.29,98344,98377.52,60.36195
1/5/2025 22:15,98377.53,98556.3,98377.52,98550.18,54.40213
1/5/2025 22:30,98550.17,98745.45,98537.35,98660.01,191.33023
1/5/2025 22:45,98660.01,98738.6,98516.27,98695.21,101.75844
1/5/2025 23:00,98695.21,98836.85,98523.83,98555.84,247.62938
1/5/2025 23:15,98555.84,98592,98366.12,98475.09,96.7045
1/5/2025 23:30,98475.09,98504,98410.59,98424.24,57.10982
1/5/2025 23:45,98424.24,98479.85,98322.72,98363.61,68.23719
1/6/2025 0:00,98363.61,98626.77,98363.61,98455.89,159.94725
1/6/2025 0:15,98455.89,98773.48,98300,98477.68,126.26352
1/6/2025 0:30,98477.68,98561.96,98315.26,98428.55,112.44535
1/6/2025 0:45,98428.54,98454.42,98190.75,98217.23,95.57453
1/6/2025 1:00,98217.23,98345.68,98033.8,98049.61,144.13274
1/6/2025 1:15,98049.16,98139.49,97920,98121.23,117.72072
1/6/2025 1:30,98121.24,98275,98116,98275,55.09669
1/6/2025 1:45,98275,98816.28,98188.63,98759.43,250.42849
1/6/2025 2:00,98759.42,99333,98691.28,99028.96,933.46792
1/6/2025 2:15,99028.95,99028.95,98649.97,98757.01,266.23383
1/6/2025 2:30,98757.01,99118.24,98670.27,98862,284.05769
1/6/2025 2:45,98862.01,98987.99,98800.94,98815.39,129.66042
1/6/2025 3:00,98815.39,99027.24,98759.55,98961.91,108.77289
1/6/2025 3:15,98961.92,99124.24,98900,99099.09,218.4755
1/6/2025 3:30,99099.09,99235.99,99074.49,99119.8,127.8433
1/6/2025 3:45,99119.8,99127.83,99000,99037.57,67.10246
1/6/2025 4:00,99037.57,99289,99037.57,99282.13,139.98484
1/6/2025 4:15,99282.14,99444,99242.42,99250,174.8345
1/6/2025 4:30,99250,99287.52,99184.98,99204.68,136.42256
1/6/2025 4:45,99204.68,99500.88,99204.68,99466.09,194.2647
1/6/2025 5:00,99466.09,99609.99,99400,99413.4,157.48651
1/6/2025 5:15,99413.4,99666,99413.39,99660.12,174.54315
1/6/2025 5:30,99660.13,99826.36,99617.16,99729.7,312.67005
