Datetime,Open,High,Low,Close,Volume
3/8/2024 20:45,69069.52,69242,68940,69071.99,974.21331
3/8/2024 21:00,69071.99,69181.1,68901.63,68994.3,690.92893
3/8/2024 21:15,68994.3,69037.99,68484,68713.99,1055.09576
3/8/2024 21:30,68713.99,68806,68571.07,68610.41,547.24207
3/8/2024 21:45,68610.41,68700,67807.58,68182.39,1241.9347
3/8/2024 22:00,68182.38,68325.25,67997.21,68290.6,661.66942
3/8/2024 22:15,68290.59,68386,68190.61,68225.07,461.9827
3/8/2024 22:30,68225.08,68428.57,68132,68317.73,343.82906
3/8/2024 22:45,68317.73,68329.79,68102.06,68102.06,292.88102
3/8/2024 23:00,68102.07,68281.1,68094.45,68238,318.5848
3/8/2024 23:15,68238,68387.4,68192.92,68201.1,292.76171
3/8/2024 23:30,68201.1,68322,68040,68075.53,394.37883
3/8/2024 23:45,68075.54,68215.01,68072.07,68124.19,261.33131
3/9/2024 0:00,68124.2,68279,68005.05,68227.52,415.6916
3/9/2024 0:15,68227.52,68227.53,68095.49,68095.49,273.82282
3/9/2024 0:30,68095.49,68162.92,68031.07,68091.49,258.28698
3/9/2024 0:45,68091.49,68175.03,68003.86,68100.01,332.93555
3/9/2024 1:00,68100,68105.98,67920,67921.1,330.51183
3/9/2024 1:15,67921.1,68100,67905,68100,237.66802
3/9/2024 1:30,68099.99,68158.35,67900.01,67987.99,239.50591
3/9/2024 1:45,67988,68020,67861.1,67910.95,249.97064
3/9/2024 2:00,67910.94,68004.97,67876.9,67932.01,272.15248
3/9/2024 2:15,67932,68080,67901.1,68074.34,241.87927
3/9/2024 2:30,68074.34,68175.05,68010.37,68168.22,243.61808
3/9/2024 2:45,68168.23,68210,68142.25,68156.02,179.62603
3/9/2024 3:00,68156.02,68195.8,68080.08,68137.08,216.93065
3/9/2024 3:15,68137.08,68275.74,68137,68224.66,186.33932
3/9/2024 3:30,68224.67,68233.07,68150,68163.99,168.46988
3/9/2024 3:45,68164,68259.18,68156,68247.34,129.01958
3/9/2024 4:00,68247.34,68250,68133.28,68186.37,151.24925
3/9/2024 4:15,68186.36,68221.09,68133.27,68199.62,172.22365
3/9/2024 4:30,68199.63,68314.14,68197.14,68198.35,217.69279
3/9/2024 4:45,68198.35,68370,68170,68301.11,241.31549
3/9/2024 5:00,68301.11,68301.11,68225.58,68225.58,144.51088
3/9/2024 5:15,68225.59,68272.58,68150,68272.55,175.97443
3/9/2024 5:30,68272.55,68272.55,68200,68245,169.89636
3/9/2024 5:45,68244.99,68245,68169.96,68244.98,174.31579
3/9/2024 6:00,68244.99,68244.99,68150.26,68208.36,149.39242
3/9/2024 6:15,68208.35,68276.35,68179.99,68268.67,170.52169
3/9/2024 6:30,68268.67,68400,68268.66,68385.99,290.70559
3/9/2024 6:45,68385.98,68520,68343.44,68426.01,432.16107
3/9/2024 7:00,68426.01,68541.1,68396.33,68500,223.06063
3/9/2024 7:15,68499.99,68514.53,68459.99,68501.34,157.27679
3/9/2024 7:30,68501.34,68520.84,68456,68503.53,226.57218
3/9/2024 7:45,68503.53,68537.94,68280,68288.64,294.93058
3/9/2024 8:00,68288.64,68381.95,68288.63,68350.13,366.82984
3/9/2024 8:15,68350.13,68407.57,68290,68381.09,249.89035
3/9/2024 8:30,68381.09,68453.12,68354.09,68425.79,194.13519
3/9/2024 8:45,68425.78,68440.05,68300,68300,252.65125
3/9/2024 9:00,68300,68345.3,68224.33,68279.69,325.91604
3/9/2024 9:15,68279.69,68365.64,68259.71,68358.85,169.93566
3/9/2024 9:30,68358.85,68358.85,68238.46,68283.25,213.99634
3/9/2024 9:45,68283.26,68301.1,68155.81,68301.09,231.74606
3/9/2024 10:00,68301.1,68307.1,68106,68196.82,301.2461
3/9/2024 10:15,68196.82,68221.08,67950.45,68074.17,504.06025
3/9/2024 10:30,68074.17,68176,67933.93,68108.91,429.84621
3/9/2024 10:45,68108.91,68197.92,68093.4,68177.99,209.35798
3/9/2024 11:00,68177.99,68287.88,68138,68150.65,199.8248
3/9/2024 11:15,68150.65,68347.07,68150.64,68292.93,213.8623
3/9/2024 11:30,68292.93,68342.19,68253.46,68262.01,162.5627
3/9/2024 11:45,68262,68300,68227.69,68299.99,140.40303
3/9/2024 12:00,68300,68330.06,68210,68248.59,236.64581
3/9/2024 12:15,68248.6,68300,68200,68204.32,218.6794
3/9/2024 12:30,68204.31,68338.76,68204.31,68338.75,187.7469
3/9/2024 12:45,68338.76,68488,68338.75,68475.18,246.33401
3/9/2024 13:00,68475.18,68521.1,68362.04,68373.42,317.95754
3/9/2024 13:15,68373.42,68405.8,68362.1,68405.8,131.90616
3/9/2024 13:30,68405.79,68470,68405.79,68418.75,146.60867
3/9/2024 13:45,68418.75,68427.36,68319.99,68345.57,112.68505
3/9/2024 14:00,68345.56,68395.36,68294.88,68371.85,203.2683
3/9/2024 14:15,68371.84,68376.4,68239.97,68299.96,170.29514
3/9/2024 14:30,68299.96,68340.07,68213.29,68227.99,233.02015
3/9/2024 14:45,68228,68261.1,68100.01,68138.68,330.50211
3/9/2024 15:00,68138.69,68221.34,68138.68,68178.25,175.67259
3/9/2024 15:15,68178.26,68273.76,68178.25,68272.72,152.58627
3/9/2024 15:30,68272.72,68350,68272.71,68316.01,135.93162
3/9/2024 15:45,68316,68316.01,68233.19,68288.2,154.27969
3/9/2024 16:00,68288.19,68315.94,68131.14,68156.01,263.19926
3/9/2024 16:15,68156.01,68205.36,68116,68133.51,203.41618
3/9/2024 16:30,68133.51,68201.65,68000,68081.22,307.50798
3/9/2024 16:45,68081.21,68152.45,68012,68104.59,251.01061
3/9/2024 17:00,68104.59,68171.64,68000,68031.91,233.97586
3/9/2024 17:15,68031.92,68121.41,68000,68080,211.69134
3/9/2024 17:30,68080,68215.07,68079.99,68210.44,173.43056
3/9/2024 17:45,68210.44,68232.04,68066.41,68153.86,201.59451
3/9/2024 18:00,68153.86,68312.1,68121.69,68283.63,209.95187
3/9/2024 18:15,68283.62,68303.28,68189.15,68189.16,98.05636
3/9/2024 18:30,68189.15,68296.54,68188.97,68289.7,144.1168
3/9/2024 18:45,68289.71,68323.29,68236.34,68250.01,155.59253
3/9/2024 19:00,68250,68325,68201.62,68277.99,196.59367
3/9/2024 19:15,68277.99,68290,68228.62,68236.42,114.79954
3/9/2024 19:30,68236.42,68236.43,68146.78,68214.95,144.35919
3/9/2024 19:45,68214.95,68243.15,68170,68193.51,170.52862
3/9/2024 20:00,68193.51,68321.6,68193.51,68283.8,196.87408
3/9/2024 20:15,68283.8,68318.93,68283.8,68318.92,87.39906
3/9/2024 20:30,68318.93,68350,68286,68300.55,133.84559
3/9/2024 20:45,68300.55,68348.06,68299.99,68333.24,143.22889
3/9/2024 21:00,68333.24,68366.05,68292.27,68366.05,137.19545
3/9/2024 21:15,68366.04,68366.05,68209.59,68229.85,172.07615
3/9/2024 21:30,68229.85,68425.7,68229.84,68414.43,171.81106
3/9/2024 21:45,68414.44,68414.44,68370.1,68376.13,80.19132
3/9/2024 22:00,68376.13,68400,68333.33,68385.14,118.13652
3/9/2024 22:15,68385.13,68411.32,68316.41,68388.73,106.63794
3/9/2024 22:30,68388.73,68390.34,68351.99,68372.08,104.12465
3/9/2024 22:45,68372.09,68372.09,68356.65,68364.99,72.62687
3/9/2024 23:00,68364.99,68433.17,68310,68433.16,183.66486
3/9/2024 23:15,68433.17,68433.17,68310,68315.94,138.50619
3/9/2024 23:30,68315.95,68353.22,68272,68350.27,153.77604
3/9/2024 23:45,68350.27,68367.81,68313.25,68313.27,104.36614
3/10/2024 0:00,68313.28,68358,68261.1,68272.97,254.34215
3/10/2024 0:15,68272.98,68367.81,68266.85,68289.28,155.04742
3/10/2024 0:30,68289.27,68449.18,68200,68231.18,394.69961
3/10/2024 0:45,68231.18,68373.83,68227.64,68343.12,219.92158
3/10/2024 1:00,68343.11,68950,68314.3,68939.41,1053.75897
3/10/2024 1:15,68939.41,69216,68842,68888,1289.2454
3/10/2024 1:30,68887.99,69000,68599.3,68715.08,603.12198
3/10/2024 1:45,68715.08,69078.4,68655.11,68939.55,616.50808
3/10/2024 2:00,68939.56,69061.52,68861.1,69018.72,369.64894
3/10/2024 2:15,69018.73,69190,69005.81,69043.66,424.6087
3/10/2024 2:30,69043.67,69162.38,68920.93,69026.73,309.77097
3/10/2024 2:45,69026.73,69044.68,68769.57,68822.58,304.05117
3/10/2024 3:00,68822.57,68932.77,68710,68920,325.22912
3/10/2024 3:15,68920,69009.55,68919.11,68965.01,297.80793
3/10/2024 3:30,68965,69024.21,68900.12,68946.37,244.65891
3/10/2024 3:45,68946.37,69140,68932.04,69136.79,281.65937
3/10/2024 4:00,69136.78,69529.9,69024.62,69479.08,1030.57664
3/10/2024 4:15,69479.08,69659.47,69350.01,69371.9,762.05189
3/10/2024 4:30,69371.9,69600,69295,69540.01,426.09926
3/10/2024 4:45,69540.01,69540.04,69375.08,69403.81,281.71201
3/10/2024 5:00,69403.82,69510.05,69341.29,69478,291.04952
3/10/2024 5:15,69478,69500,69370,69411.83,211.07694
3/10/2024 5:30,69411.83,69469.53,69214.31,69301.1,303.42159
3/10/2024 5:45,69301.09,69367.95,69192.98,69330.32,366.59572
3/10/2024 6:00,69330.33,69379.25,69288.43,69370,214.64503
3/10/2024 6:15,69370.01,69370.01,69071.69,69203.08,236.45828
3/10/2024 6:30,69203.07,69304.45,69180.73,69300.01,153.48347
3/10/2024 6:45,69300,69350,69206.15,69325.92,189.19663
3/10/2024 7:00,69325.91,69385.77,69300.31,69309.06,208.94523
3/10/2024 7:15,69309.07,69372.96,69297.25,69329.23,189.45896
3/10/2024 7:30,69329.23,69350.89,69242.01,69350.09,265.11718
3/10/2024 7:45,69350.09,69439.38,69341.7,69347.16,267.12691
3/10/2024 8:00,69347.16,69473.05,69331.48,69397.11,250.72678
3/10/2024 8:15,69397.11,69519,69371.99,69508.46,322.50462
3/10/2024 8:30,69508.46,69565.32,69462.54,69548.41,240.98037
3/10/2024 8:45,69548.4,69686.94,69471.99,69635.35,439.42304
3/10/2024 9:00,69635.35,69635.36,69489.59,69552,338.14893
3/10/2024 9:15,69551.99,69552,69210,69364.09,581.19388
3/10/2024 9:30,69364.09,69756,69162,69735.33,739.66262
3/10/2024 9:45,69735.33,69844,69537.26,69776.31,1426.56185
3/10/2024 10:00,69776.32,69872.46,69665.99,69867.17,660.68776
3/10/2024 10:15,69867.17,69887.61,69701.1,69760,600.11411
3/10/2024 10:30,69759.99,69874,69579.77,69648.06,447.14076
3/10/2024 10:45,69648.05,69769.71,69550,69750.08,385.21505
3/10/2024 11:00,69750.08,69835.75,69668.23,69712.96,310.25514
3/10/2024 11:15,69712.97,69741.1,69560,69603.28,284.9182
3/10/2024 11:30,69603.28,69688.66,69359.41,69612.2,450.48968
3/10/2024 11:45,69612.21,69675.37,69500.19,69568.46,234.1644
3/10/2024 12:00,69568.45,69755.06,69541.1,69648.01,335.31647
3/10/2024 12:15,69648.01,69833.33,69600,69721.1,472.20624
3/10/2024 12:30,69721.11,69825.81,69421.87,69654.1,695.79318
3/10/2024 12:45,69654.11,69822.75,69654.1,69777.94,511.21797
3/10/2024 13:00,69777.93,69820,69706.85,69757.31,389.90303
3/10/2024 13:15,69757.31,69770,69578.19,69578.19,279.3495
3/10/2024 13:30,69578.2,69657.03,69514.82,69567.67,356.96298
3/10/2024 13:45,69567.67,69581.7,69118,69313.56,959.49464
3/10/2024 14:00,69313.55,69468,69201.5,69255.51,436.67123
3/10/2024 14:15,69255.5,69377.24,69230,69277.67,366.76164
3/10/2024 14:30,69277.68,69290,68641.1,68888.69,1145.76665
3/10/2024 14:45,68888.69,69277.67,68874,69270,537.39102
3/10/2024 15:00,69269.99,69415.59,69072.01,69098.92,446.77869
3/10/2024 15:15,69098.92,69324,68965.66,69312.08,498.19136
3/10/2024 15:30,69312.08,69357.18,69126.7,69293.86,457.74093
3/10/2024 15:45,69293.86,69311.05,69153.5,69194.83,351.04562
3/10/2024 16:00,69194.83,69418.67,69157.55,69418.66,402.82657
3/10/2024 16:15,69418.66,69648.94,69418.66,69619.99,612.10919
3/10/2024 16:30,69620,69768.58,69553.04,69566.89,430.58463
3/10/2024 16:45,69566.9,69590.08,69419.48,69426.42,256.17681
3/10/2024 17:00,69426.41,69514.23,69350,69458.6,274.81932
3/10/2024 17:15,69458.61,69472.59,69356.24,69399.99,137.33856
3/10/2024 17:30,69399.99,69498.22,69399.99,69495.84,155.08265
3/10/2024 17:45,69495.84,69600,69411.07,69413.53,202.30168
3/10/2024 18:00,69413.53,69471.56,69354,69466.19,176.68444
3/10/2024 18:15,69466.2,69466.2,69355,69400,142.31808
3/10/2024 18:30,69399.99,69459.99,69281.75,69346.87,222.70297
3/10/2024 18:45,69346.87,69368.89,69186.02,69233.97,230.73956
3/10/2024 19:00,69233.96,69281.1,69111.89,69242,208.91359
3/10/2024 19:15,69241.99,69351.88,69224.85,69325.06,188.65051
3/10/2024 19:30,69325.05,69332,69257.02,69332,162.56467
3/10/2024 19:45,69331.99,69447.59,69270.13,69400.19,202.54249
3/10/2024 20:00,69400.19,69470.01,69328.72,69401.42,231.03069
3/10/2024 20:15,69401.41,69401.42,69248.1,69267.84,125.71313
3/10/2024 20:30,69267.83,69370.36,69267.83,69299.99,133.08594
3/10/2024 20:45,69300,69316.59,69241.1,69310,137.55262
3/10/2024 21:00,69310,69386.45,69284.34,69324.21,150.93676
3/10/2024 21:15,69324.21,69324.22,69111,69128.65,338.84746
3/10/2024 21:30,69128.65,69243.72,69128.65,69150.6,148.21163
3/10/2024 21:45,69150.59,69239.35,69086.77,69100,172.89429
3/10/2024 22:00,69100,69100,68840,68913.11,388.4007
3/10/2024 22:15,68913.1,68913.11,68561.11,68756.24,610.87561
3/10/2024 22:30,68756.24,68851.85,68505.01,68556.51,585.24234
3/10/2024 22:45,68556.52,68800,68094.75,68418.59,1233.22711
3/10/2024 23:00,68418.59,68724.03,68357.49,68664.4,604.81079
3/10/2024 23:15,68664.39,68799.93,68542.55,68766.33,378.84735
3/10/2024 23:30,68766.33,68789.25,68632.89,68782.28,294.70002
3/10/2024 23:45,68782.28,68998.71,68747.4,68955.88,370.06229
3/11/2024 0:00,68955.88,68955.9,68808.11,68846.45,421.60436
3/11/2024 0:15,68846.45,68885.32,68480.76,68560.74,429.81504
3/11/2024 0:30,68560.75,68669.62,68204.93,68218.02,496.74789
3/11/2024 0:45,68218.01,68400,67024.96,68095.99,2360.33532
3/11/2024 1:00,68095.99,68376,67752.28,68172.14,873.53901
3/11/2024 1:15,68172.14,68363.42,67930,67997.88,655.0011
3/11/2024 1:30,67997.89,68069.26,67584.2,67815.33,656.61392
3/11/2024 1:45,67815.32,68300,67709.61,68299.17,559.20068
3/11/2024 2:00,68299.17,68518.3,68276.9,68518.3,564.48207
3/11/2024 2:15,68518.3,68518.3,68347.3,68459.19,288.97562
3/11/2024 2:30,68459.18,68517.4,68341.1,68362.01,248.25246
3/11/2024 2:45,68362.01,68487.48,68255.47,68314.71,320.82114
3/11/2024 3:00,68314.72,68571.42,68283.6,68563.61,259.88036
3/11/2024 3:15,68563.6,68632.32,68488.78,68506.54,344.4787
3/11/2024 3:30,68506.53,68543.62,68392.43,68481.1,326.07637
3/11/2024 3:45,68481.09,68629.5,68425.51,68604.42,316.77363
3/11/2024 4:00,68604.41,68812.21,68545.51,68596.03,385.95718
3/11/2024 4:15,68596.03,68670,68557.14,68670,150.18374
3/11/2024 4:30,68670,68670,68529.07,68586.05,202.89742
3/11/2024 4:45,68586.05,68590,68468.95,68540.12,250.54318
3/11/2024 5:00,68540.12,68807.44,68540.1,68741.92,442.18113
3/11/2024 5:15,68741.92,68772.01,68562.07,68657.04,239.07597
3/11/2024 5:30,68657.04,68657.05,68550,68586,164.84955
3/11/2024 5:45,68586,68611.97,68501.1,68550.4,233.77317
3/11/2024 6:00,68550.4,68576.56,68445.91,68481.1,204.44171
3/11/2024 6:15,68481.11,68749.03,68469.13,68671.99,326.77173
3/11/2024 6:30,68672,68732.84,68550,68722.76,257.89497
3/11/2024 6:45,68722.77,69371.81,68700,69319.79,766.56561
3/11/2024 7:00,69319.79,70500,69275.61,70447.12,4898.098371
3/11/2024 7:15,70447.12,70812,70000,70616.52,3455.452552
3/11/2024 7:30,70616.51,71298,70541.1,70724,3429.819045
