Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
1/1/2025 2:20,93765.42,93773.19,93702.61,93716.81,13.08729,25:00.0,1226630.134,3213,4.913,460481.0191,0
1/1/2025 2:25,93716.81,93742.52,93702.62,93742.52,11.93177,30:00.0,1118176.689,1347,7.75213,726480.519,0
1/1/2025 2:30,93742.51,93799.36,93742.51,93773.61,13.91987,35:00.0,1305276.863,3804,8.56202,802829.0361,0
1/1/2025 2:35,93773.61,93880,93773.6,93879.99,12.32596,40:00.0,1156601.519,3743,8.29096,777880.4158,0
1/1/2025 2:40,93879.99,93921.86,93855.17,93921.86,13.58807,45:00.0,1275904.016,2972,9.9958,938577.9999,0
1/1/2025 2:45,93921.86,93965.2,93912,93934.22,10.69693,50:00.0,1004896.544,3873,6.68824,628301.9194,0
1/1/2025 2:50,93934.22,94105.12,93934.21,94040.01,54.77784,55:00.0,5152432.376,5669,37.08274,3487743.261,0
1/1/2025 2:55,94040.01,94098.91,94040,94098.91,18.53586,00:00.0,1743522.513,3947,11.91665,1120896.617,0
1/1/2025 3:00,94098.9,94098.91,93959.89,93988.45,23.57324,05:00.0,2216391.145,4505,15.50682,1457894.196,0
1/1/2025 3:05,93988.45,94050.5,93965.31,93982,21.59699,10:00.0,2030082.687,4582,9.98319,938332.0724,0
1/1/2025 3:10,93982,93992.8,93971.63,93976.01,19.89506,15:00.0,1869693.328,1472,8.04535,756087.2737,0
1/1/2025 3:15,93976.01,93976.01,93832.13,93849.7,18.2703,20:00.0,1715320.611,4412,6.96667,653940.9031,0
1/1/2025 3:20,93849.71,93856,93766.23,93830.88,22.20545,25:00.0,2083173.569,4824,7.55658,708945.2909,0
1/1/2025 3:25,93830.89,93848.98,93830.88,93830.89,6.94743,30:00.0,651931.9542,1654,4.05608,380609.0369,0
1/1/2025 3:30,93830.9,93848,93828.01,93829.13,17.10461,35:00.0,1605025.897,1699,9.21944,865091.612,0
1/1/2025 3:35,93829.13,93850.31,93800,93850.31,13.37962,40:00.0,1255261.424,2108,6.04818,567411.8819,0
1/1/2025 3:40,93850.31,93891.15,93840,93857.04,37.35226,45:00.0,3506139.583,2440,29.34276,2754393.341,0
1/1/2025 3:45,93857.03,93867.35,93728.22,93786.19,25.41642,50:00.0,2384277.323,4284,13.10899,1229690.903,0
1/1/2025 3:50,93786.18,93812,93786.18,93801.66,8.27912,55:00.0,776572.0835,1574,5.33616,500513.5424,0
1/1/2025 3:55,93801.66,93838.04,93801.65,93838.04,6.97252,00:00.0,654171.4009,1447,4.75118,445755.1294,0
1/1/2025 4:00,93838.04,93838.04,93733.28,93797.95,54.89707,05:00.0,5147017.85,4296,45.88913,4302259.126,0
1/1/2025 4:05,93797.96,93797.96,93727.36,93727.36,12.55923,10:00.0,1177645.142,1903,1.63722,153514.9469,0
1/1/2025 4:10,93727.37,93727.37,93689.96,93711.19,20.01233,15:00.0,1875209.775,3405,11.03433,1033909.425,0
1/1/2025 4:15,93711.18,93718.23,93679.07,93705.73,20.95088,20:00.0,1963011.191,2906,15.12565,1417177.308,0
1/1/2025 4:20,93705.74,93771.99,93688.53,93698.98,18.60924,25:00.0,1744207.91,4466,7.87049,737671.423,0
1/1/2025 4:25,93698.98,93747.47,93690.89,93738.09,13.97592,30:00.0,1309673.883,1715,4.82368,452064.6378,0
1/1/2025 4:30,93738.09,93738.1,93674.18,93674.34,13.82388,35:00.0,1295451.223,2820,5.10766,478676.5007,0
1/1/2025 4:35,93674.33,93674.34,93616.82,93638.53,22.96567,40:00.0,2150620.99,2921,10.78677,1010082.244,0
1/1/2025 4:40,93638.53,93645.13,93626.11,93645.13,9.10569,45:00.0,852645.6781,1684,4.89987,458818.4894,0
1/1/2025 4:45,93645.12,93670,93607.86,93633.99,19.42639,50:00.0,1819107.445,4320,10.24559,959340.1774,0
1/1/2025 4:50,93633.98,93670,93626.75,93648.99,13.54025,55:00.0,1268099.614,2524,3.62582,339546.7984,0
1/1/2025 4:55,93648.99,93669.99,93500,93553.91,59.60254,00:00.0,5576365.423,5637,11.93926,1117563.688,0
1/1/2025 5:00,93553.91,93586.5,93547.4,93586.49,9.06194,05:00.0,847974.5576,1870,5.2423,490566.6111,0
1/1/2025 5:05,93586.5,93621.5,93581.2,93581.2,15.80294,10:00.0,1479168.355,2443,5.73511,536824.5111,0
1/1/2025 5:10,93581.2,93680,93581.2,93638.5,19.55943,15:00.0,1831544.22,3314,9.12635,854458.1324,0
1/1/2025 5:15,93638.5,93671.13,93614.5,93671.13,10.63968,20:00.0,996348.5966,2434,5.44655,510019.7493,0
1/1/2025 5:20,93671.12,93768.49,93671.12,93730,58.38748,25:00.0,5472675.193,4237,45.63527,4277277.037,0
1/1/2025 5:25,93730.01,93933.33,93729.99,93891.74,27.78431,30:00.0,2606771.162,5083,21.34856,2002913.445,0
1/1/2025 5:30,93891.74,93937.19,93840,93840,16.30363,35:00.0,1530770.734,3536,6.35733,596928.5713,0
1/1/2025 5:35,93840,93866.39,93821.01,93821.01,17.3295,40:00.0,1626433.276,3469,7.41557,695943.4391,0
1/1/2025 5:40,93821.01,93871.43,93799.25,93857.65,10.84107,45:00.0,1017229.791,3086,5.06428,475196.5076,0
1/1/2025 5:45,93857.66,93862.11,93836.27,93836.28,7.98453,50:00.0,749305.4791,1810,4.30447,403950.1406,0
1/1/2025 5:50,93836.27,93836.28,93804,93804.11,10.78589,55:00.0,1011831.348,1743,5.5396,519649.012,0
1/1/2025 5:55,93804.12,93804.12,93792.01,93792.02,4.699,00:00.0,440738.1413,814,2.00279,187847.8718,0
1/1/2025 6:00,93792.02,93792.02,93729.15,93729.15,22.92537,05:00.0,2149469.379,3511,6.79164,636739.1935,0
1/1/2025 6:05,93729.16,93729.16,93658.8,93658.81,8.82931,10:00.0,827268.6085,1863,2.22683,208630.1168,0
1/1/2025 6:10,93658.81,93673.73,93603.21,93603.22,16.37344,15:00.0,1533220.87,2518,5.40203,505887.4924,0
1/1/2025 6:15,93603.21,93663.01,93603.21,93624.26,16.08201,20:00.0,1505752.482,2613,7.19362,673530.5414,0
1/1/2025 6:20,93624.26,93701.39,93624.25,93677.17,25.11493,25:00.0,2352503.55,2671,16.04551,1502960.13,0
1/1/2025 6:25,93677.16,93681.66,93654.49,93654.5,5.33562,30:00.0,499803.3313,1403,2.67221,250317.9033,0
1/1/2025 6:30,93654.5,93654.5,93604,93615.06,63.59369,35:00.0,5954645.471,3646,44.29021,4147094.61,0
1/1/2025 6:35,93615.07,93660.03,93568.38,93647.51,40.59857,40:00.0,3800980.146,4589,24.66899,2309390.418,0
1/1/2025 6:40,93647.51,93720.01,93647.5,93720,30.18422,45:00.0,2827764.545,1808,27.69383,2594466.071,0
1/1/2025 6:45,93720.01,93722.1,93677.91,93677.91,16.65673,50:00.0,1560797.029,1724,10.60048,993343.5716,0
1/1/2025 6:50,93677.92,93722.1,93672.34,93722.1,9.64492,55:00.0,903657.9704,1968,4.43941,415944.3393,0
1/1/2025 6:55,93722.1,93757.58,93719.58,93757.58,16.93965,00:00.0,1587712.486,1752,13.88087,1301001.006,0
1/1/2025 7:00,93757.57,93757.58,93690.78,93690.79,6.72698,05:00.0,630414.889,1756,2.83923,266044.8799,0
1/1/2025 7:05,93690.79,93704.34,93664.08,93664.09,12.31332,10:00.0,1153716.817,1825,3.84236,360017.0577,0
1/1/2025 7:10,93664.09,93686.79,93664.08,93685.25,10.23327,15:00.0,958627.4658,2073,5.70319,534247.1592,0
1/1/2025 7:15,93685.25,93731.25,93677.5,93731.24,12.51311,20:00.0,1172494.05,1849,8.08599,757692.4571,0
