Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2024-03-01 00:00:00,3340.1,3388.82,3338.54,3367.79,66201.9036,2024-03-01 03:59:59.999,222965019.099085,187104,28466.4481,95855282.886371,0
2024-03-01 04:00:00,3367.78,3399.0,3364.32,3365.41,55423.9715,2024-03-01 07:59:59.999,187276055.271236,182562,26042.197,88018556.415763,0
2024-03-01 08:00:00,3365.41,3437.08,3353.74,3410.9,91689.1515,2024-03-01 11:59:59.999,312939650.438604,268023,44923.6479,153293581.666368,0
2024-03-01 12:00:00,3410.89,3449.81,3379.6,3390.76,89813.1551,2024-03-01 15:59:59.999,307020374.149828,272960,43783.4705,149698164.396885,0
2024-03-01 16:00:00,3390.76,3435.9,3380.06,3427.73,63881.7445,2024-03-01 19:59:59.999,217887714.049759,198815,32416.897,110590628.709888,0
2024-03-01 20:00:00,3427.73,3450.0,3421.28,3433.43,45778.6511,2024-03-01 23:59:59.999,157207021.564182,153666,24141.0017,82908237.51951,0
2024-03-02 00:00:00,3433.42,3460.04,3424.71,3442.34,53603.9715,2024-03-02 03:59:59.999,184427702.138931,164302,25323.9698,87124610.701556,0
2024-03-02 04:00:00,3442.33,3452.76,3390.01,3430.25,73960.5478,2024-03-02 07:59:59.999,253312489.36252,185636,38228.3413,130903751.205448,0
2024-03-02 08:00:00,3430.26,3435.68,3391.83,3403.39,46989.2405,2024-03-02 11:59:59.999,160271763.569625,171394,20881.426,71225692.966204,0
2024-03-02 12:00:00,3403.4,3427.01,3394.47,3418.05,43485.4252,2024-03-02 15:59:59.999,148439232.14786,168744,20718.0578,70725198.130148,0
2024-03-02 16:00:00,3418.04,3431.03,3410.0,3426.19,34444.983,2024-03-02 19:59:59.999,117863114.800156,126582,16642.3918,56957724.588495,0
2024-03-02 20:00:00,3426.2,3431.31,3402.56,3421.4,31500.7768,2024-03-02 23:59:59.999,107442618.432117,109455,16448.0911,56096611.687844,0
2024-03-03 00:00:00,3421.39,3434.0,3409.1,3431.56,42198.1371,2024-03-03 03:59:59.999,144463491.863448,143259,21605.5177,73969390.798981,0
2024-03-03 04:00:00,3431.57,3446.23,3360.0,3392.76,76052.0366,2024-03-03 07:59:59.999,259152181.737341,216905,36069.0081,122937331.336994,0
2024-03-03 08:00:00,3392.76,3414.91,3375.0,3413.39,51813.7052,2024-03-03 11:59:59.999,176160392.782118,183978,24856.8069,84521093.128049,0
2024-03-03 12:00:00,3413.39,3447.53,3403.92,3422.5,60505.3203,2024-03-03 15:59:59.999,207373714.456846,214352,30667.1126,105114070.241876,0
2024-03-03 16:00:00,3422.5,3484.44,3418.22,3465.2,69628.9165,2024-03-03 19:59:59.999,241105545.920255,203138,34470.535,119347794.17676,0
2024-03-03 20:00:00,3465.2,3491.8,3458.65,3487.81,41433.4153,2024-03-03 23:59:59.999,144017334.224482,155191,21170.183,73595024.982583,0
2024-03-04 00:00:00,3487.8,3528.96,3423.78,3471.85,104241.127,2024-03-04 03:59:59.999,363697600.779851,310732,52730.3783,184049459.106395,0
2024-03-04 04:00:00,3471.84,3487.34,3456.36,3478.61,64931.4423,2024-03-04 07:59:59.999,225429901.596277,218093,28303.7781,98260653.012606,0
2024-03-04 08:00:00,3478.61,3544.14,3478.6,3506.91,130561.2393,2024-03-04 11:59:59.999,458609962.50977904,358986,59540.5752,209163546.623052,0
2024-03-04 12:00:00,3506.92,3568.18,3459.03,3560.42,132120.4513,2024-03-04 15:59:59.999,465429012.554064,361342,67666.0596,238533539.591439,0
2024-03-04 16:00:00,3560.42,3610.0,3528.42,3593.01,184688.9321,2024-03-04 19:59:59.999,658361771.084433,432785,97211.9333,346668222.380903,0
2024-03-04 20:00:00,3593.0,3640.94,3558.3,3627.76,98817.4441,2024-03-04 23:59:59.999,355376793.414786,271826,49601.2999,178437174.906781,0
2024-03-05 00:00:00,3627.75,3697.2,3607.24,3689.81,115612.4894,2024-03-05 03:59:59.999,420407884.531008,324632,57055.8016,207546609.815714,0
2024-03-05 04:00:00,3689.81,3740.0,3641.5,3672.98,214653.2558,2024-03-05 07:59:59.999,794972638.2136511,553202,105895.0613,392222827.73890704,0
2024-03-05 08:00:00,3672.99,3742.0,3651.87,3731.45,96557.8615,2024-03-05 11:59:59.999,357286399.956623,279143,51096.3229,189117765.743073,0
2024-03-05 12:00:00,3731.46,3822.04,3730.8,3783.01,232303.136,2024-03-05 15:59:59.999,877844958.252932,546999,121815.7181,460230794.55977905,0
2024-03-05 16:00:00,3783.0,3796.07,3200.0,3376.46,421444.8851,2024-03-05 19:59:59.999,1513207195.93118,903025,184323.921,663778466.127835,0
2024-03-05 20:00:00,3376.46,3580.6,3324.68,3553.65,312333.2362,2024-03-05 23:59:59.999,1080128602.798086,658581,163012.6174,563846910.305207,0
2024-03-06 00:00:00,3553.66,3591.23,3499.4,3538.01,115820.7803,2024-03-06 03:59:59.999,410620562.453988,308084,56595.4936,200667286.994489,0
