Date,Open,High,Low,Close,Volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2/3/2020,9331.59,9618.79,9234,9292.24,50892.13345,1.58E+12,476379993.5,492124,24781.3977,232065946.5,0
2/4/2020,9291.35,9350,9093.01,9197.02,53308.17527,1.58E+12,491136137.2,528930,26103.43231,240571508.2,0
2/5/2020,9197.02,9744.45,9177.22,9612.04,64870.41562,1.58E+12,613540574.8,661758,35375.6052,334620486.1,0
2/6/2020,9612.03,9862.57,9526.35,9772,64949.70659,1.58E+12,631245079.8,682179,32143.45465,312506614.4,0
2/7/2020,9772,9885,9730,9813.73,43966.11463,1.58E+12,430744860.2,582249,22733.98819,222761440,0
2/8/2020,9813.87,9940,9667.11,9895.05,43600.84367,1.58E+12,427781790.2,514573,22664.38184,222438123.8,0
2/9/2020,9895.04,10166,9880.75,10151.75,43408.47562,1.58E+12,437441704.9,536848,22408.27733,225799470,0
2/10/2020,10151.72,10188,9756,9851.83,59573.08462,1.58E+12,590091358.4,690308,28618.88325,283509329.4,0
2/11/2020,9851.74,10323.59,9700,10223.08,62422.39522,1.58E+12,624970415.4,710170,31905.31642,319373572.9,0
2/12/2020,10223.08,10450,10223.08,10326.46,61008.06393,1.58E+12,629756037.5,857655,31141.8077,321525481.5,0
2/13/2020,10325.33,10500,10080,10229.63,79344.35876,1.58E+12,815507473.7,932802,38475.27255,395629173,0
2/14/2020,10227.78,10381.56,10111.37,10344.36,47038.48017,1.58E+12,482455622,622310,23697.00549,243079257.3,0
2/15/2020,10344.36,10375,9801,9904.72,57657.20295,1.58E+12,580845331.2,739781,26758.58032,269731775.5,0
2/16/2020,9904.46,10050,9638.12,9917.27,60023.99954,1.58E+12,592584876.9,708070,29406.13684,290482773.3,0
2/17/2020,9910.7,9964.16,9452.67,9706,70261.0119,1.58E+12,680009637.6,778058,33221.83924,321724146.1,0
2/18/2020,9706,10250,9576.01,10164.71,70604.12402,1.58E+12,696870122.8,723413,37303.99633,368380176.6,0
2/19/2020,10164.78,10250,9350,9593.79,55162.5869,1.58E+12,547679966.9,588760,25457.91648,253188749.1,0
2/20/2020,9594.65,9699,9400,9596.42,60152.34291,1.58E+12,576020107.5,667387,29843.20888,285816414.9,0
2/21/2020,9597.21,9755.51,9550.21,9677.05,42181.55452,1.58E+12,408286949.8,470599,21645.26761,209532434.6,0
2/22/2020,9677.05,9709.17,9560.02,9650.86,24636.75762,1.58E+12,237544283.2,319961,13267.24651,127929553,0
2/23/2020,9650.85,9990,9645,9936.4,37702.08984,1.58E+12,371815095.5,441935,20035.25055,197592792.9,0
2/24/2020,9936.4,9990,9473.56,9656.13,55796.59612,1.58E+12,542081527.6,589384,26426.93064,256859539,0
2/25/2020,9655.52,9675,9250,9315.84,54379.34455,1.58E+12,514946930.6,579079,26318.93416,249358678.9,0
2/26/2020,9316.48,9377.44,8633.63,8785.25,92130.34548,1.58E+12,830717784.4,871018,41928.87481,378197861.6,0
2/27/2020,8786,8971.77,8531,8823.21,72483.57876,1.58E+12,636955872.8,696646,35410.01449,311229361.7,0
2/28/2020,8823.25,8900,8445,8692.91,71155.20898,1.58E+12,615664817,655727,35295.60614,305533927,0
2/29/2020,8690.8,8790,8523.55,8523.61,36748.18304,1.58E+12,318585952,414175,18916.85456,164044036.9,0
3/1/2020,8523.61,8750,8411,8531.88,43892.20178,1.58E+12,375729315.3,472019,21838.36887,186962259.7,0
3/2/2020,8530.3,8965.75,8498,8915.24,60401.31773,1.58E+12,528906629.6,564535,31213.0806,273395227.9,0
3/3/2020,8911.18,8919.65,8651,8760.07,55154.99728,1.58E+12,484181096.3,512762,26954.22975,236655810.1,0
3/4/2020,8760.07,8848.29,8660,8750.87,38696.48258,1.58E+12,338849892,454817,19279.33119,168832874.5,0
3/5/2020,8750.99,9159.42,8746.54,9054.68,58201.86636,1.58E+12,524102029.2,619552,30482.08217,274387102.9,0
3/6/2020,9054.64,9170,8985.5,9131.88,43782.94804,1.58E+12,397598476.4,493216,22296.56051,202484342.2,0
3/7/2020,9130.89,9188,8835,8886.66,45422.20453,1.58E+12,409983263.8,485400,22281.71586,201161181.3,0
3/8/2020,8885.25,8886.76,8000,8033.31,77537.31517,1.58E+12,656931544.8,740741,34843.60785,295351474.4,0
3/9/2020,8034.76,8179.31,7632.01,7929.87,116968.8633,1.58E+12,918787729.1,929234,58020.95793,455866837.3,0
3/10/2020,7929.87,8149,7728.01,7894.56,86783.44388,1.58E+12,689700153.4,737528,43673.58402,347117049.4,0
3/11/2020,7894.57,7980,7590,7934.52,79942.41117,1.58E+12,624465167.4,699401,40497.89274,316442882.8,0
3/12/2020,7934.58,7966.17,4410,4800,261505.6087,1.58E+12,1628590104,1770812,119298.0062,743481672.2,0
3/13/2020,4800.01,5955,3782.13,5578.6,402201.6738,1.58E+12,2063819541,2309830,197511.9543,1017423856,0
3/14/2020,5576.05,5640.52,5055.13,5172.06,136910.136,1.58E+12,736651880.9,1106125,66104.01973,356020329.9,0
3/15/2020,5172.48,5940,5093.1,5361.3,139916.1465,1.58E+12,753755706.4,1037714,70540.65095,380499471.9,0
3/16/2020,5360.33,5365.42,4442.12,5028.97,227276.9228,1.58E+12,1113690309,1608176,108901.9674,533857910.8,0
3/17/2020,5028.86,5525,4921.45,5312.64,150089.9263,1.58E+12,793147908.3,1069217,74698.37425,394902319.1,0
3/18/2020,5312.64,5436.17,5009.37,5393.04,137127.6349,1.58E+12,719748122.5,962843,65106.06778,341970839.6,0
3/19/2020,5393.26,6400,5252.53,6162.37,199020.8734,1.58E+12,1164739708,1403608,99011.94701,579536547.8,0
3/20/2020,6162.05,6900,5670,6208.36,219298.3295,1.58E+12,1401734013,1580069,104719.6392,670117999.1,0
3/21/2020,6204.57,6456.98,5860.02,6186.98,128913.6684,1.58E+12,794962136.6,990974,63326.09685,390737241.1,0
3/22/2020,6187.04,6407.87,5734.01,5816.19,119115.9905,1.58E+12,722895653.5,952259,57189.89835,347411876.4,0
3/23/2020,5816.05,6600,5688,6467.31,164674.2158,1.59E+12,1015525672,1099406,84136.01173,519197453.1,0
3/24/2020,6465.25,6833,6371.33,6744.72,151138.0099,1.59E+12,1001890515,1012669,72781.81733,482659188.6,0
3/25/2020,6744.69,6957.96,6450,6677.43,132155.735,1.59E+12,880250736.9,912179,63515.16835,423439621.6,0
3/26/2020,6677.42,6780,6510,6737.36,83026.55521,1.59E+12,552537189.5,668467,41123.41051,273834254.5,0
3/27/2020,6737.27,6842.59,6261,6359.11,82914.96835,1.59E+12,551326113.9,643631,38439.27222,255910741.8,0
