Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-01-01 00:00:00,3337.78000000,3343.02000000,3335.84000000,3340.26000000,707.44280000,2025-01-01 00:04:59.999,2362700.63989900,6308,334.53330000,1117431.19994300,0
2025-01-01 00:05:00,3340.28000000,3344.01000000,3339.55000000,3342.99000000,437.61740000,2025-01-01 00:09:59.999,1462736.48387900,4234,279.07480000,932744.68446000,0
2025-01-01 00:10:00,3342.99000000,3349.34000000,3341.91000000,3348.50000000,766.87360000,2025-01-01 00:14:59.999,2565080.44570100,6092,465.50670000,1557028.11236000,0
2025-01-01 00:15:00,3348.51000000,3352.86000000,3347.62000000,3351.05000000,574.41670000,2025-01-01 00:19:59.999,1924607.23639300,5290,312.95460000,1048509.86864500,0
2025-01-01 00:20:00,3351.06000000,3353.37000000,3347.72000000,3349.33000000,420.78420000,2025-01-01 00:24:59.999,1409779.24416400,4383,242.01170000,810789.49881200,0
2025-01-01 00:25:00,3349.33000000,3350.36000000,3347.33000000,3349.43000000,561.70650000,2025-01-01 00:29:59.999,1880792.34296500,2493,392.35080000,1313689.15039000,0
2025-01-01 00:30:00,3349.43000000,3358.61000000,3349.01000000,3356.80000000,2388.97240000,2025-01-01 00:34:59.999,8013863.06485200,5616,1676.44800000,5623464.25981400,0
2025-01-01 00:35:00,3356.81000000,3360.00000000,3355.52000000,3359.96000000,792.56210000,2025-01-01 00:39:59.999,2660920.39632600,3732,436.53130000,1465779.67927300,0
2025-01-01 00:40:00,3359.96000000,3360.99000000,3355.62000000,3356.09000000,322.12640000,2025-01-01 00:44:59.999,1081876.21155800,3268,186.99380000,628026.38072400,0
2025-01-01 00:45:00,3356.09000000,3358.86000000,3353.89000000,3356.56000000,308.08760000,2025-01-01 00:49:59.999,1034178.96720800,2868,213.77880000,717642.09067900,0
2025-01-01 00:50:00,3356.56000000,3363.07000000,3355.62000000,3361.42000000,455.93560000,2025-01-01 00:54:59.999,1531800.42606900,5082,335.75140000,1127954.28951800,0
2025-01-01 00:55:00,3361.42000000,3365.71000000,3359.00000000,3363.70000000,1157.91910000,2025-01-01 00:59:59.999,3892936.54919700,4924,571.59720000,1921969.56654100,0
2025-01-01 01:00:00,3363.69000000,3366.40000000,3357.53000000,3359.66000000,999.56150000,2025-01-01 01:04:59.999,3361749.96034000,4782,620.17380000,2086246.59268500,0
2025-01-01 01:05:00,3359.60000000,3360.00000000,3355.00000000,3360.00000000,567.96670000,2025-01-01 01:09:59.999,1906836.65788400,4648,283.68280000,952356.89878100,0
2025-01-01 01:10:00,3360.00000000,3362.42000000,3358.40000000,3360.93000000,496.41140000,2025-01-01 01:14:59.999,1668269.98914200,4346,370.03080000,1243506.16698700,0
2025-01-01 01:15:00,3360.92000000,3360.92000000,3353.03000000,3354.56000000,569.18430000,2025-01-01 01:19:59.999,1909910.36560900,4139,207.67680000,696850.32679200,0
2025-01-01 01:20:00,3354.55000000,3356.84000000,3351.11000000,3354.05000000,381.60960000,2025-01-01 01:24:59.999,1280193.20251700,3978,251.34090000,843189.66089900,0
2025-01-01 01:25:00,3354.04000000,3355.36000000,3352.61000000,3352.79000000,180.02920000,2025-01-01 01:29:59.999,603683.74477500,1731,100.61400000,337365.30834600,0
2025-01-01 01:30:00,3352.80000000,3358.28000000,3352.38000000,3356.11000000,594.62280000,2025-01-01 01:34:59.999,1995158.52785800,4808,379.61160000,1273694.69946200,0
2025-01-01 01:35:00,3356.12000000,3356.85000000,3354.20000000,3354.73000000,238.74970000,2025-01-01 01:39:59.999,801114.19766500,2703,120.69890000,404996.43121700,0
2025-01-01 01:40:00,3354.72000000,3356.85000000,3352.45000000,3352.46000000,301.23400000,2025-01-01 01:44:59.999,1010496.44223600,3781,155.33930000,521119.85641400,0
2025-01-01 01:45:00,3352.46000000,3354.30000000,3351.00000000,3353.17000000,575.97210000,2025-01-01 01:49:59.999,1930995.37656200,3896,412.58560000,1383276.03624600,0
2025-01-01 01:50:00,3353.18000000,3353.44000000,3342.67000000,3343.58000000,966.89160000,2025-01-01 01:54:59.999,3237193.10737500,5277,333.44940000,1116230.11009500,0
2025-01-01 01:55:00,3343.60000000,3347.69000000,3342.73000000,3346.54000000,265.90470000,2025-01-01 01:59:59.999,889379.04318300,2633,146.42370000,489732.18583300,0
2025-01-01 02:00:00,3346.54000000,3352.92000000,3346.35000000,3351.94000000,372.22250000,2025-01-01 02:04:59.999,1246583.13236500,4363,249.01840000,833910.92376800,0
2025-01-01 02:05:00,3351.94000000,3353.14000000,3347.36000000,3348.10000000,528.88440000,2025-01-01 02:09:59.999,1772320.61830000,4218,225.71510000,756337.24214300,0
2025-01-01 02:10:00,3348.09000000,3354.57000000,3347.80000000,3354.32000000,412.52470000,2025-01-01 02:14:59.999,1383008.00153500,3917,319.31580000,1070480.07405100,0
2025-01-01 02:15:00,3354.32000000,3354.32000000,3350.20000000,3352.85000000,324.52660000,2025-01-01 02:19:59.999,1087694.15670300,4298,173.31940000,580889.90074600,0
2025-01-01 02:20:00,3352.86000000,3354.06000000,3349.00000000,3351.37000000,460.63440000,2025-01-01 02:24:59.999,1543839.58994000,3337,272.58380000,913590.67458300,0
2025-01-01 02:25:00,3351.36000000,3351.36000000,3349.40000000,3349.94000000,328.66420000,2025-01-01 02:29:59.999,1101026.31148300,1667,140.48300000,470607.09838500,0
2025-01-01 02:30:00,3349.94000000,3354.61000000,3349.93000000,3353.36000000,458.37530000,2025-01-01 02:34:59.999,1536528.31783700,4061,320.81640000,1075293.68748200,0
2025-01-01 02:35:00,3353.37000000,3360.01000000,3353.36000000,3358.23000000,1610.70840000,2025-01-01 02:39:59.999,5408635.74685400,4006,800.96430000,2689322.04789700,0
2025-01-01 02:40:00,3358.23000000,3360.01000000,3356.70000000,3357.78000000,934.85540000,2025-01-01 02:44:59.999,3139807.34586000,3147,539.13380000,1810574.66892700,0
2025-01-01 02:45:00,3357.79000000,3359.40000000,3354.93000000,3355.66000000,910.34660000,2025-01-01 02:49:59.999,3055397.23710500,3890,238.26830000,799860.53966600,0
2025-01-01 02:50:00,3355.65000000,3368.42000000,3355.37000000,3362.06000000,1996.79960000,2025-01-01 02:54:59.999,6716006.03086100,5528,1295.93490000,4357609.21141700,0
2025-01-01 02:55:00,3362.07000000,3364.94000000,3361.24000000,3362.61000000,437.26790000,2025-01-01 02:59:59.999,1470573.10248200,2494,174.44580000,586557.41725900,0
