Datetime,Open,High,Low,Close,Volume
12/22/2024 1:00,97253.01,97432.69,97136,97326.06,189.71865
12/22/2024 1:30,97326.05,97326.06,96720,97060.01,258.01058
12/22/2024 2:00,97060,97236.18,96784,96979.99,152.13276
12/22/2024 2:30,96979.99,97012,96613.18,96719.99,219.67827
12/22/2024 3:00,96719.99,97320,96549.37,97160.39,434.82148
12/22/2024 3:30,97160.38,97236.67,96810.43,96994.37,171.78974
12/22/2024 4:00,96994.37,97071.97,96772.95,96861.45,140.55382
12/22/2024 4:30,96861.44,96891.57,96072,96076.01,572.91798
12/22/2024 5:00,96076.01,96321.82,95890.28,96290.11,686.54206
12/22/2024 5:30,96290.12,96409.64,96070.85,96156.19,435.55247
12/22/2024 6:00,96156.19,96608,96112,96554.56,322.11983
12/22/2024 6:30,96554.56,96749.99,96476.42,96739.99,269.04884
12/22/2024 7:00,96740,96847.99,96500,96535.99,192.52508
12/22/2024 7:30,96536,96569.25,96080,96210.24,362.15629
12/22/2024 8:00,96210.25,96689.55,96196.85,96572.01,334.24598
12/22/2024 8:30,96572.01,96663.08,96416,96534.5,169.63214
12/22/2024 9:00,96534.51,96800,96333.5,96712.46,186.6342
12/22/2024 9:30,96712.47,97256.02,96664.59,96940.27,590.62937
12/22/2024 10:00,96940.27,97192.47,96852,97142.13,298.07503
12/22/2024 10:30,97142.13,97351.57,97009.03,97009.03,224.4711
12/22/2024 11:00,97009.03,97309.82,96988,97258.31,192.86105
12/22/2024 11:30,97258.32,97334.25,97074.45,97101.28,188.43993
12/22/2024 12:00,97101.29,97186.22,96836.36,97129.76,254.8532
12/22/2024 12:30,97129.76,97300,96987.6,96987.61,187.74179
12/22/2024 13:00,96987.61,97250,96850,97221.38,258.33426
12/22/2024 13:30,97221.38,97245.82,96856,96976,253.73634
12/22/2024 14:00,96976,97044.02,95753.53,95848.01,744.26179
12/22/2024 14:30,95848.01,96219.79,95254.77,95363.44,1310.81406
12/22/2024 15:00,95363.44,95660.8,95166.16,95348.29,721.97861
12/22/2024 15:30,95348.3,95533.37,95109.13,95377.72,713.18669
12/22/2024 16:00,95377.71,95763.34,95200,95656.63,653.45725
12/22/2024 16:30,95656.64,95888.09,95500,95715.09,319.37782
12/22/2024 17:00,95715.09,95854.54,95457.62,95536.15,320.3265
12/22/2024 17:30,95536.15,95811.34,95528,95612.19,234.57778
12/22/2024 18:00,95612.18,96242.92,95371.96,96184.93,526.47285
12/22/2024 18:30,96184.93,96444.45,95910.99,95955.22,460.79856
12/22/2024 19:00,95955.23,96152,95647.27,95702.01,363.27685
12/22/2024 19:30,95702.01,95754.05,94700,94836.55,1032.02084
12/22/2024 20:00,94836.55,95155.47,94424,95000.01,654.78426
12/22/2024 20:30,95000.01,95624,94940,95592.49,434.6414
12/22/2024 21:00,95592.49,95740,95337.04,95486.5,431.62541
12/22/2024 21:30,95486.5,95555.43,95069.03,95203.11,302.66874
