Datetime,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
3/2/2024 8:30,3415.52,3425.26,3411.4,3417.5,5354.6852,00:00.0,18308543.74,23509,2336.259,7987675.322,0
3/2/2024 9:00,3417.5,3422.78,3409.2,3411.47,6068.6118,30:00.0,20720932.11,21128,2494.3392,8515165.989,0
3/2/2024 9:30,3411.46,3411.47,3391.83,3403,10880.3672,00:00.0,37005889.49,36227,4371.4874,14868370.59,0
3/2/2024 10:00,3402.99,3415.1,3401.42,3409.03,4529.9649,30:00.0,15443422.29,16637,2428.2331,8278608.082,0
3/2/2024 10:30,3409.02,3413.73,3402.95,3407.31,4321.8514,00:00.0,14732885.34,15405,1766.2361,6020564.709,0
3/2/2024 11:00,3407.32,3415,3403.43,3411.49,4366.6201,30:00.0,14887564.29,15006,2429.0637,8282163.907,0
3/2/2024 11:30,3411.49,3416.48,3403.1,3403.39,4267.4173,00:00.0,14552899.52,17011,1709.026,5829233.791,0
3/2/2024 12:00,3403.4,3423.71,3403.14,3419.7,4416.6639,30:00.0,15081168.56,16555,2325.9227,7941848.898,0
3/2/2024 12:30,3419.7,3427.01,3416.87,3420.64,5358.326,00:00.0,18340781.57,18569,2157.3833,7384230.383,0
3/2/2024 13:00,3420.64,3421.45,3413.2,3413.4,3686.3009,30:00.0,12596285.12,15992,1622.5346,5544364.095,0
3/2/2024 13:30,3413.41,3424.51,3409.13,3410.15,4906.8438,00:00.0,16762309.52,19003,2195.6068,7502070.403,0
3/2/2024 14:00,3410.15,3416.5,3396.01,3401.59,8777.7633,30:00.0,29888857.22,29844,3574.4599,12171827.89,0
3/2/2024 14:30,3401.58,3414.73,3394.47,3413.22,5595.0108,00:00.0,19054512.12,27793,3022.0116,10292454.68,0
3/2/2024 15:00,3413.22,3422,3410.44,3421.99,5058.0715,30:00.0,17280758.82,19912,2977.702,10173769.98,0
3/2/2024 15:30,3421.99,3424.19,3409.2,3418.05,5686.445,00:00.0,19434559.23,21076,2842.4369,9714631.796,0
3/2/2024 16:00,3418.04,3425.73,3417.4,3420.21,3731.6937,30:00.0,12765804.85,17376,1957.0629,6695067.533,0
3/2/2024 16:30,3420.2,3424.6,3410,3424.6,8457.3175,00:00.0,28887846.83,27515,3077.6474,10513145.52,0
3/2/2024 17:00,3424.59,3430.84,3417.42,3422.36,4465.6684,30:00.0,15295148.75,18532,2077.7941,7117484.572,0
3/2/2024 17:30,3422.37,3425.66,3414,3414.01,4654.0038,00:00.0,15915295.81,13729,2164.8263,7403643.97,0
3/2/2024 18:00,3414,3425.83,3413.37,3423.68,2868.6977,30:00.0,9812652.11,11012,1789.3419,6119953.915,0
3/2/2024 18:30,3423.67,3430.56,3420.82,3430.52,2811.8738,00:00.0,9634874.305,13038,1515.6695,5193896.633,0
3/2/2024 19:00,3430.51,3431.03,3423.79,3427.24,4383.0722,30:00.0,15020966.93,14455,2405.3593,8243315.978,0
3/2/2024 19:30,3427.23,3430.49,3424.4,3426.19,3072.6559,00:00.0,10530525.22,10925,1654.6904,5671216.467,0
3/2/2024 20:00,3426.2,3431.31,3404.4,3407.26,7673.6253,30:00.0,26205354.87,22489,3501.7754,11957561.1,0
3/2/2024 20:30,3407.27,3410.54,3404.54,3406.29,5582.1196,00:00.0,19020613.95,14777,3250.6753,11076585.93,0
3/2/2024 21:00,3406.3,3413.4,3404.75,3405.05,3617.7838,30:00.0,12334020.42,13528,1850.8839,6310147.931,0
3/2/2024 21:30,3405.04,3408.2,3402.56,3408.19,3244.5567,00:00.0,11048226.49,13541,1581.0155,5383747.454,0
3/2/2024 22:00,3408.19,3409.85,3403.44,3409.84,2994.2421,30:00.0,10200902.58,12400,1918.2959,6535256.004,0
3/2/2024 22:30,3409.85,3409.88,3402.99,3404,1887.9968,00:00.0,6430754.181,8174,779.8582,2656211.249,0
3/2/2024 23:00,3404.01,3419.62,3404,3417.77,3436.6664,30:00.0,11727832.68,12406,1924.392,6565663.21,0
3/2/2024 23:30,3417.76,3421.48,3414.6,3421.4,3063.7861,00:00.0,10474913.27,12140,1641.1949,5611438.813,0
3/3/2024 0:00,3421.39,3422.93,3409.1,3413.41,6297.0652,30:00.0,21513284.56,22554,2421.2072,8271520.213,0
